population,leg,band,pass,injected_dvv,n_trials,n_recovered,median_estimated_dvv,bias,robust_scatter_1p4826_mad,rmse,detection_probability,correct_sign_probability,correct_sign_detection_probability
heldout,outbound,15_30,aperture_200m,-0.01,23,23,-0.0099790188121,-0.0001639498191434778,0.0012987815439899982,0.0011758790399855892,1.0,1.0,1.0
heldout,outbound,15_30,aperture_200m,-0.005,23,23,-0.0049628270961,-0.00015994380740434765,0.0014627306039975995,0.0011633965883205931,1.0,1.0,1.0
heldout,outbound,15_30,aperture_200m,-0.002,23,23,-0.0019874299201000003,-0.00016463416900869564,0.00143014552882614,0.0011424714396704055,0.391304347826087,1.0,0.391304347826087
heldout,outbound,15_30,aperture_200m,-0.001,23,23,-0.0010002504284,-0.00016220691836086955,0.0014377304508256202,0.001141472057617114,0.08695652173913043,0.782608695652174,0.08695652173913043
heldout,outbound,15_30,aperture_200m,-0.0005,23,23,-0.0005007098881,-0.00016167000432826086,0.0014304400044689999,0.0011372785556310735,0.08695652173913043,0.7391304347826086,0.08695652173913043
heldout,outbound,15_30,aperture_200m,-0.0002,23,23,-0.00019997241763,-0.00016383156939782595,0.0014279544233006217,0.0011360380956765446,0.08695652173913043,0.5652173913043478,0.08695652173913043
heldout,outbound,15_30,aperture_200m,-0.0001,23,23,-9.992886561999999e-05,-0.00016429587995739125,0.001425175696144368,0.001135287058540755,0.08695652173913043,0.5217391304347826,0.08695652173913043
heldout,outbound,15_30,aperture_200m,0.0,23,23,0.0,-0.00016471451703956524,0.0014219072361261599,0.0011345938440374046,0.08695652173913043,nan,0.08695652173913043
heldout,outbound,15_30,aperture_200m,0.0001,23,23,0.0001013032354,-0.00016464438578000004,0.0014231613324767998,0.0011341566387613018,0.043478260869565216,0.5217391304347826,0.0
heldout,outbound,15_30,aperture_200m,0.0002,23,23,0.00020192845340000003,-0.0001645745950530435,0.00142327289026902,0.0011337468096397347,0.043478260869565216,0.5652173913043478,0.0
heldout,outbound,15_30,aperture_200m,0.0005,23,23,0.0005036664884,-0.0001664864144879566,0.00143814637824354,0.0011333827041886432,0.0,0.6086956521739131,0.0
heldout,outbound,15_30,aperture_200m,0.001,23,23,0.0010103522189,-0.00017052667916652177,0.0014881725848681993,0.0011336951233000619,0.08695652173913043,0.6956521739130435,0.08695652173913043
heldout,outbound,15_30,aperture_200m,0.002,23,23,0.0020167110489,-0.00017249782020869586,0.0014912447885579996,0.0011318161629522033,0.2608695652173913,0.9130434782608695,0.2608695652173913
heldout,outbound,15_30,aperture_200m,0.005,23,23,0.0049625594699,-0.00017009925153478253,0.001192317621406799,0.0011415462535011949,1.0,1.0,1.0
heldout,outbound,15_30,aperture_200m,0.01,23,23,0.009826242383900001,-0.0002088316736217391,0.0009396158214114013,0.0011473636812046899,1.0,1.0,1.0
heldout,outbound,15_30,aperture_800m,-0.01,23,23,-0.0104987880027,-0.0005236389002217393,0.0014672982633119995,0.0014190784444973064,1.0,1.0,1.0
heldout,outbound,15_30,aperture_800m,-0.005,23,23,-0.005309112260699999,-0.00022595498269999982,0.0013893112690338016,0.0012765355707132834,1.0,1.0,1.0
heldout,outbound,15_30,aperture_800m,-0.002,23,23,-0.0020648729867,-4.053569097391294e-05,0.0014571353249711997,0.0012332051360934746,0.5652173913043478,1.0,0.5652173913043478
heldout,outbound,15_30,aperture_800m,-0.001,23,23,-0.0010192377007,2.1369216960869594e-05,0.0014593032924036,0.0012295198770743056,0.2608695652173913,0.7391304347826086,0.2608695652173913
heldout,outbound,15_30,aperture_800m,-0.0005,23,23,-0.0005115045352,5.2837991078260864e-05,0.0014391929865032998,0.0012295499286785162,0.08695652173913043,0.6956521739130435,0.08695652173913043
heldout,outbound,15_30,aperture_800m,-0.0002,23,23,-0.00020407274449999997,7.427570901130438e-05,0.0014277319261531201,0.0012286523895593054,0.043478260869565216,0.5652173913043478,0.043478260869565216
heldout,outbound,15_30,aperture_800m,-0.0001,23,23,-0.00010199490289999999,7.997892019434787e-05,0.00142248042440868,0.0012280500865390833,0.043478260869565216,0.5652173913043478,0.043478260869565216
heldout,outbound,15_30,aperture_800m,0.0,23,23,0.0,8.598679857073917e-05,0.0014180624568411,0.001227486046312985,0.08695652173913043,nan,0.08695652173913043
heldout,outbound,15_30,aperture_800m,0.0001,23,23,0.00010189263440000003,9.195783080086955e-05,0.00142451890200186,0.0012269694561683607,0.08695652173913043,0.6521739130434783,0.043478260869565216
heldout,outbound,15_30,aperture_800m,0.0002,23,23,0.00020467871853000003,9.858047885391306e-05,0.0014302843581113216,0.0012268103983993077,0.08695652173913043,0.6956521739130435,0.043478260869565216
heldout,outbound,15_30,aperture_800m,0.0005,23,23,0.0005155778861,0.00011827918927826087,0.00144397389959172,0.0012266996861981126,0.2608695652173913,0.6956521739130435,0.21739130434782608
heldout,outbound,15_30,aperture_800m,0.001,23,23,0.0010340706768,0.00014873039987956522,0.0014433565737141598,0.0012233373057515622,0.30434782608695654,0.8260869565217391,0.30434782608695654
heldout,outbound,15_30,aperture_800m,0.002,23,23,0.0021362074293000003,0.00020916606004782608,0.0014500456712838602,0.0012100255933297941,0.6956521739130435,0.9565217391304348,0.6956521739130435
