estimator,label,model,n_bursts,amplitude_dvv,sigma_dvv,p_surrogate,upper_limit_95_dvv,surrogate_95_dvv,vs_de_fazio,vs_niu,vs_paper1_nano_ul
outbound,Deep outbound,with_linear_trend,46,0.0005789123366915991,0.0003591943209044561,0.701,0.001282933205664333,0.0013041604750046569,2.565866411328666,22.27314593167245,1.607685721383876
outbound,Deep outbound,no_trend,46,0.0008699734518245255,0.00034201453008083277,0.385,0.0015403219307829577,0.0011275741392716883,3.0806438615659153,26.741700187204128,1.9302279834372904
return,Deep return,with_linear_trend,46,0.00022392408783607418,0.0004816689553877687,0.755,0.0011679952403961008,0.0008475903543001029,2.3359904807922014,20.27769514576564,1.4636531834537605
return,Deep return,no_trend,46,0.0003381182784135389,0.0004394616746758553,0.733,0.0011994631607782154,0.0007052080924759612,2.3989263215564307,20.82401320795513,1.503086667641874
equal,"Deep paired, equal weight",with_linear_trend,46,0.00040141821226383646,0.00031942317364086026,0.682,0.0010274876325999226,0.001032619128253424,2.0549752651998454,17.83832695485977,1.2875784869673217
equal,"Deep paired, equal weight",no_trend,46,0.0006040458651190321,0.0002988292163855263,0.478,0.0011897511292346635,0.0008286676989262556,2.379502258469327,20.655401549212907,1.4909162020484505
invvar,"Deep paired, inverse-variance",with_linear_trend,46,0.00043679314207226274,0.00031274715395260234,0.709,0.0010497775638193634,0.0011127118586440564,2.0995551276387268,18.225304927419504,1.3155107316032122
invvar,"Deep paired, inverse-variance",no_trend,46,0.0006563597906734905,0.00029444685882708184,0.476,0.001233475633974571,0.0008906850646194164,2.466951267949142,21.414507534280744,1.5457088145044748
joint,"Deep paired, covariance-aware",with_linear_trend,46,0.0004473495846778651,0.00031266424918850706,0.662,0.0010601715130873388,0.001116747333188415,2.1203430261746776,18.405755435544076,1.3285357306858883
joint,"Deep paired, covariance-aware",no_trend,46,0.0006711623055997529,0.00029476911457824,0.431,0.0012489097701731033,0.000903770181285382,2.4978195403462067,21.682461287727488,1.5650498373096533
