epoch,n_common_drops,split,assumed_depth_m,leg,band_low_hz,band_high_hz,positive_semblance,negative_semblance,positive_minus_negative,positive_slowness_ms_per_m,positive_velocity_mps,positive_time_s
0,18,discovery,3192.0,outbound,3.0,15.0,0.01102222732683583,0.030737635310941206,-0.019715407984105378,0.7692307692307693,1300.0,1.152
1,17,validation,3192.0,outbound,3.0,15.0,0.03705435743688467,0.03313897185291555,0.0039153855839691235,0.7692307692307693,1300.0,1.152
2,18,discovery,3192.0,outbound,3.0,15.0,0.022514702700017715,0.0757014997291101,-0.05318679702909238,0.7692307692307693,1300.0,1.152
3,18,validation,3192.0,outbound,3.0,15.0,0.028349544127171635,0.05298042282100101,-0.024630878693829374,0.7692307692307693,1300.0,1.152
4,19,discovery,3192.0,outbound,3.0,15.0,0.00880904631017277,0.07305814889373177,-0.06424910258355901,0.7692307692307693,1300.0,1.152
5,19,validation,3192.0,outbound,3.0,15.0,0.017492730246558924,0.0189316889332689,-0.0014389586867099777,0.7692307692307693,1300.0,1.152
6,17,discovery,3192.0,outbound,3.0,15.0,0.02515976016472502,0.024300847704640957,0.0008589124600840645,0.7692307692307693,1300.0,1.152
7,19,validation,3192.0,outbound,3.0,15.0,0.036582143692465915,0.14954959168439877,-0.11296744799193285,0.7692307692307693,1300.0,1.152
8,19,discovery,3192.0,outbound,3.0,15.0,0.03152314800845361,0.08149113262312711,-0.04996798461467351,0.7692307692307693,1300.0,1.152
9,18,validation,3192.0,outbound,3.0,15.0,0.042110236552799905,0.041454051418566944,0.0006561851342329617,0.7692307692307693,1300.0,1.152
10,18,discovery,3192.0,outbound,3.0,15.0,0.01385522994759464,0.0996461292423019,-0.08579089929470726,0.7692307692307693,1300.0,1.152
11,18,validation,3192.0,outbound,3.0,15.0,0.015913468218716913,0.03663051172017891,-0.020717043501461994,0.7692307692307693,1300.0,1.152
12,18,discovery,3192.0,outbound,3.0,15.0,0.015715555318653446,0.05754557363033738,-0.04183001831168394,0.7692307692307693,1300.0,1.152
13,20,validation,3192.0,outbound,3.0,15.0,0.04738595049932958,0.09330413991684233,-0.04591818941751275,0.7692307692307693,1300.0,1.152
14,20,discovery,3192.0,outbound,3.0,15.0,0.022091243039233165,0.021564677471141595,0.00052656556809157,0.7692307692307693,1300.0,1.152
15,19,validation,3192.0,outbound,3.0,15.0,0.024589266740251976,0.028292212942298542,-0.0037029462020465656,0.7692307692307693,1300.0,1.152
16,20,discovery,3192.0,outbound,3.0,15.0,0.022564225466382717,0.022227220950530622,0.00033700451585209554,0.7692307692307693,1300.0,1.152
17,20,validation,3192.0,outbound,3.0,15.0,0.037282303288394526,0.02263622848969635,0.014646074798698176,0.7692307692307693,1300.0,1.152
18,18,discovery,3192.0,outbound,3.0,15.0,0.04022855534350279,0.04173824448895694,-0.0015096891454541503,0.7692307692307693,1300.0,1.152
19,18,validation,3192.0,outbound,3.0,15.0,0.05290151639803435,0.0687247522949179,-0.015823235896883545,0.7692307692307693,1300.0,1.152
20,19,discovery,3192.0,outbound,3.0,15.0,0.03457294838716953,0.023278250005529362,0.01129469838164017,0.7692307692307693,1300.0,1.152
