assumed_depth_m,leg,band_low_hz,band_high_hz,split,n_bursts,n_positive_minus_negative,positive_fraction,sign_test_p,median_difference,bootstrap_ci_low,bootstrap_ci_high
3192.0,outbound,3.0,15.0,discovery,23,5,0.21739130434782608,0.9987002611160278,-0.018896657985094344,-0.050439019954612016,-0.0181861607622537
3192.0,outbound,3.0,15.0,validation,23,6,0.2608695652173913,0.9946889877319336,-0.008838968141786207,-0.039606373186057024,-0.009582467656062384
3192.0,outbound,3.0,15.0,all,46,11,0.2391304347826087,0.9999217913957352,-0.016095833658038128,-0.03972195021780421,-0.01763639225811443
3192.0,outbound,15.0,30.0,discovery,23,22,0.9565217391304348,2.86102294921875e-06,0.2584015231410672,0.1623057435870463,0.2741899907642915
3192.0,outbound,15.0,30.0,validation,23,21,0.9130434782608695,3.3020973205566406e-05,0.28917470444737536,0.15885050723548816,0.2928571336847546
3192.0,outbound,15.0,30.0,all,46,43,0.9347826086956522,2.3109691937861498e-10,0.27336218405401425,0.18015398310021585,0.26590185683875867
3192.0,return,3.0,15.0,discovery,23,13,0.5652173913043478,0.3388197422027588,0.004132381560913698,-0.0019218318543162461,0.013552596882841886
3192.0,return,3.0,15.0,validation,23,13,0.5652173913043478,0.3388197422027588,0.0005669886321544235,-0.00631258899999159,0.00840602113089906
3192.0,return,3.0,15.0,all,46,26,0.5652173913043478,0.23069559106838256,0.0009226330876668642,-0.002167624629882227,0.008759210492397052
3192.0,return,15.0,30.0,discovery,23,21,0.9130434782608695,3.3020973205566406e-05,0.059057461918117705,0.062108795007872156,0.18374223682827373
3192.0,return,15.0,30.0,validation,23,20,0.8695652173913043,0.000244140625,0.08037376507997018,0.072927266105991,0.17715311881613924
3192.0,return,15.0,30.0,all,46,41,0.8913043478260869,2.202968119036086e-08,0.07016232897363449,0.08262169685041339,0.16349968865132736
3302.0,outbound,3.0,15.0,discovery,23,5,0.21739130434782608,0.9987002611160278,-0.011554921944708973,-0.039216909218745495,-0.011773173559492924
3302.0,outbound,3.0,15.0,validation,23,5,0.21739130434782608,0.9987002611160278,-0.020990082677252622,-0.037603411923775,-0.01391482297664022
3302.0,outbound,3.0,15.0,all,46,10,0.21739130434782608,0.9999797198193363,-0.015850896115994717,-0.03484204554633138,-0.01602558543887093
3302.0,outbound,15.0,30.0,discovery,23,23,1.0,1.1920928955078125e-07,0.2640339190049684,0.16095054534836323,0.29372280273153845
3302.0,outbound,15.0,30.0,validation,23,21,0.9130434782608695,3.3020973205566406e-05,0.2917004963385103,0.1685991972850503,0.31615056591562346
3302.0,outbound,15.0,30.0,all,46,44,0.9565217391304348,1.5376144801848568e-11,0.27090886321422536,0.1852099063124938,0.2858161571122795
3302.0,return,3.0,15.0,discovery,23,15,0.6521739130434783,0.10501980781555176,0.006207764406690526,0.001110836493267442,0.024051891849572946
3302.0,return,3.0,15.0,validation,23,14,0.6086956521739131,0.2024364471435547,0.008015526686607596,-0.0006506022694687093,0.02517112516703548
3302.0,return,3.0,15.0,all,46,29,0.6304347826086957,0.051902677752053705,0.007111645546649061,0.00307204677558451,0.021076322640181427
3302.0,return,15.0,30.0,discovery,23,17,0.7391304347826086,0.01734483242034912,0.022549663175426025,0.01618720220806579,0.08122356749552535
3302.0,return,15.0,30.0,validation,23,16,0.6956521739130435,0.04656982421875,0.017245339347749487,0.01886190557107328,0.07485079581081364
3302.0,return,15.0,30.0,all,46,33,0.717391304347826,0.0022669307910945236,0.02121144020981201,0.025524469013592944,0.06800345172236913
2800.0,outbound,3.0,15.0,discovery,23,19,0.8260869565217391,0.001299738883972168,0.06108006312630225,0.037920377775144315,0.07334318949542715
2800.0,outbound,3.0,15.0,validation,23,19,0.8260869565217391,0.001299738883972168,0.030454929543530296,0.023648005398291917,0.06982796767461277
2800.0,outbound,3.0,15.0,all,46,38,0.8260869565217391,4.623849960694315e-06,0.049819893705872906,0.03638993662877338,0.06554523048345856
2800.0,outbound,15.0,30.0,discovery,23,22,0.9565217391304348,2.86102294921875e-06,0.289479121776365,0.23684222153374515,0.3333263931616965
2800.0,outbound,15.0,30.0,validation,23,19,0.8260869565217391,0.001299738883972168,0.30721511146314806,0.19189174483238233,0.3208990581944339
2800.0,outbound,15.0,30.0,all,46,41,0.8913043478260869,2.202968119036086e-08,0.3002084551069033,0.23266808188271035,0.3134468376752816
2800.0,return,3.0,15.0,discovery,23,15,0.6521739130434783,0.10501980781555176,0.007262422846723118,0.002386120979264778,0.022903469688170586
2800.0,return,3.0,15.0,validation,23,16,0.6956521739130435,0.04656982421875,0.014162042723218655,0.004661034259043952,0.02372098785980494
2800.0,return,3.0,15.0,all,46,31,0.6739130434782609,0.012948040896617385,0.009051542775742593,0.0061452942623392275,0.020351998279158016
2800.0,return,15.0,30.0,discovery,23,8,0.34782608695652173,0.95343017578125,-0.006562813715247931,-0.023385416911918835,0.0024072975703931087
2800.0,return,15.0,30.0,validation,23,12,0.5217391304347826,0.5,0.00034252550591862274,-0.023215501552741494,0.0007998144918128044
2800.0,return,15.0,30.0,all,46,20,0.43478260869565216,0.8490021934051697,-0.0038296370562690973,-0.019550218238584372,-0.0019263791246409239
3000.0,outbound,3.0,15.0,discovery,23,13,0.5652173913043478,0.3388197422027588,0.008611677456898267,-0.0034291690729950225,0.03188457732529165
3000.0,outbound,3.0,15.0,validation,23,8,0.34782608695652173,0.95343017578125,-0.015251947703280713,-0.034863905962825625,0.007878947455084955
3000.0,outbound,3.0,15.0,all,46,21,0.45652173913043476,0.7693044089316174,-0.002381565217767643,-0.014842221912770416,0.014182549023101966
3000.0,outbound,15.0,30.0,discovery,23,23,1.0,1.1920928955078125e-07,0.14644965675979132,0.11714543937280768,0.15705774198223854
3000.0,outbound,15.0,30.0,validation,23,22,0.9565217391304348,2.86102294921875e-06,0.13427307378785394,0.1018364618783297,0.16338778227176448
3000.0,outbound,15.0,30.0,all,46,45,0.9782608695652174,6.679101716144942e-13,0.1386181786531076,0.11691229152147889,0.1533726335869472
3000.0,return,3.0,15.0,discovery,23,18,0.782608695652174,0.005311012268066406,0.00868280574723267,0.016378766233285998,0.12330306356553788
3000.0,return,3.0,15.0,validation,23,18,0.782608695652174,0.005311012268066406,0.02750383651246155,0.04688417223665089,0.1924070675684639
3000.0,return,3.0,15.0,all,46,36,0.782608695652174,7.820860426477338e-05,0.02367424747448877,0.04493485102243806,0.1379115755467895
3000.0,return,15.0,30.0,discovery,23,16,0.6956521739130435,0.04656982421875,0.0630785252268466,0.04278373185268162,0.15343515663886703
3000.0,return,15.0,30.0,validation,23,18,0.782608695652174,0.005311012268066406,0.10425725050711532,0.08627433688700266,0.2067292419355815
3000.0,return,15.0,30.0,all,46,34,0.7391304347826086,0.0008207456704241167,0.07792639907714657,0.07814466003118545,0.16243790966944766
