leg,band_low_hz,band_high_hz,assumed_depth_m,target_leg_coordinate_m,window_start_m,window_stop_m,window_center_m,n_channels,direction,discovery_slowness_ms_per_m,discovery_velocity_mps,discovery_center_time_s,discovery_semblance,validation_semblance,validation_trajectory_rms_ratio,target_null_permutation_p
outbound,3.0,15.0,3000.0,3000.0,2899.498,3097.5623,2998.53015,49,positive,0.7478632478632478,1337.1428571428573,1.744,0.14030144037105918,0.0815655897726438,0.8636860770397029,nan
outbound,3.0,15.0,3000.0,3000.0,2899.498,3097.5623,2998.53015,49,negative,-0.6517094017094017,-1534.4262295081967,2.6839999999999997,0.12104069571589092,0.05030988670295732,1.1321003207234355,nan
outbound,15.0,30.0,3000.0,3000.0,2899.498,3097.5623,2998.53015,49,positive,0.6410256410256411,1560.0,2.34,0.6990055406948289,0.25615110368554384,1.0420877988920336,nan
outbound,15.0,30.0,3000.0,3000.0,2899.498,3097.5623,2998.53015,49,negative,-0.6517094017094017,-1534.4262295081967,2.36,0.11369816578074436,0.05429984080088463,1.1251760456574815,nan
outbound,3.0,15.0,3050.0,3050.0,2950.5455,3148.6098,3049.57765,49,positive,0.6623931623931624,1509.6774193548388,2.2079999999999997,0.3458004165222468,0.05095900005123171,0.9604754469894942,nan
outbound,3.0,15.0,3050.0,3050.0,2950.5455,3148.6098,3049.57765,49,negative,-0.5982905982905983,-1671.4285714285713,2.48,0.20268545432044638,0.09449350726690706,0.7457145424655561,nan
outbound,15.0,30.0,3050.0,3050.0,2950.5455,3148.6098,3049.57765,49,positive,0.6410256410256411,1560.0,2.1799999999999997,0.7524080755979178,0.4249270172246242,1.167943711653708,nan
outbound,15.0,30.0,3050.0,3050.0,2950.5455,3148.6098,3049.57765,49,negative,-0.6623931623931624,-1509.6774193548388,2.6799999999999997,0.18378902275546494,0.07470962432142043,0.9822802915009557,nan
outbound,3.0,15.0,3100.0,3100.0,2999.5511,3197.6154,3098.58325,49,positive,0.6517094017094017,1534.4262295081967,2.1719999999999997,0.32787024076748306,0.05473060736419434,1.0455960056814013,nan
outbound,3.0,15.0,3100.0,3100.0,2999.5511,3197.6154,3098.58325,49,negative,-0.5876068376068376,-1701.818181818182,2.6999999999999997,0.19591559773574216,0.10934254617014638,0.7036943411317772,nan
outbound,15.0,30.0,3100.0,3100.0,2999.5511,3197.6154,3098.58325,49,positive,0.6303418803418803,1586.4406779661017,2.1799999999999997,0.7402642288964962,0.4049086816090817,1.1246891502445373,nan
outbound,15.0,30.0,3100.0,3100.0,2999.5511,3197.6154,3098.58325,49,negative,-0.6410256410256411,-1560.0,2.652,0.12363697906870315,0.07128837060323247,0.9456729061348025,nan
outbound,3.0,15.0,3150.0,3150.0,3050.5986000000003,3248.6629000000003,3149.6307500000003,49,positive,0.7264957264957265,1376.4705882352941,2.08,0.11228047594770321,0.19147822786684912,0.9848022601748668,nan
outbound,3.0,15.0,3150.0,3150.0,3050.5986000000003,3248.6629000000003,3149.6307500000003,49,negative,-0.6410256410256411,-1560.0,2.664,0.15531113882708905,0.06886558588971477,0.9104721824059486,nan
outbound,15.0,30.0,3150.0,3150.0,3050.5986000000003,3248.6629000000003,3149.6307500000003,49,positive,0.6303418803418803,1586.4406779661017,2.44,0.46935620727148736,0.1313289142033566,1.22345074106088,nan
outbound,15.0,30.0,3150.0,3150.0,3050.5986000000003,3248.6629000000003,3149.6307500000003,49,negative,-0.6623931623931624,-1509.6774193548388,2.6999999999999997,0.11408004500166012,0.10052949069557353,0.8595546279969891,nan
outbound,3.0,15.0,3192.0,3192.0,3091.4366,3289.5009,3190.46875,49,positive,0.7692307692307693,1300.0,1.152,0.0650297134813126,0.01687206510613498,0.9089983407439778,0.794
outbound,3.0,15.0,3192.0,3192.0,3091.4366,3289.5009,3190.46875,49,negative,-0.5555555555555556,-1800.0,2.64,0.09259048368368934,0.05041282405556767,0.89497028995905,0.078
outbound,15.0,30.0,3192.0,3192.0,3091.4366,3289.5009,3190.46875,49,positive,0.6517094017094017,1534.4262295081967,2.268,0.42784605486034233,0.3318390933902173,1.3321440817779062,0.002
outbound,15.0,30.0,3192.0,3192.0,3091.4366,3289.5009,3190.46875,49,negative,-0.5555555555555556,-1800.0,2.656,0.08340409872303446,0.07859771947772583,0.7891567134267944,0.02
outbound,3.0,15.0,3200.0,3200.0,3099.6042,3297.6685,3198.63635,49,positive,0.7585470085470085,1318.3098591549297,1.16,0.07714521501581932,0.02149007276187326,0.9325054967558992,nan
outbound,3.0,15.0,3200.0,3200.0,3099.6042,3297.6685,3198.63635,49,negative,-0.5555555555555556,-1800.0,2.636,0.10502551933775794,0.06428139343254202,0.9411501138188637,nan
outbound,15.0,30.0,3200.0,3200.0,3099.6042,3297.6685,3198.63635,49,positive,0.6623931623931624,1509.6774193548388,2.268,0.43799609642123316,0.3356653734690362,1.383515867834477,nan
outbound,15.0,30.0,3200.0,3200.0,3099.6042,3297.6685,3198.63635,49,negative,-0.6410256410256411,-1560.0,1.26,0.05503103775067698,0.019430329130986954,0.9068078759909246,nan
outbound,3.0,15.0,3250.0,3250.0,3150.6517,3348.716,3249.68385,49,positive,0.6837606837606838,1462.5,2.1879999999999997,0.11849290694231757,0.16920492877115823,1.3066698091115003,nan
outbound,3.0,15.0,3250.0,3250.0,3150.6517,3348.716,3249.68385,49,negative,-0.6944444444444444,-1440.0,2.564,0.07451261794390333,0.09242507905358954,0.9681922462542403,nan
outbound,15.0,30.0,3250.0,3250.0,3150.6517,3348.716,3249.68385,49,positive,0.6196581196581197,1613.7931034482758,2.344,0.4187185800893178,0.45065642167374476,1.16519085058356,nan
outbound,15.0,30.0,3250.0,3250.0,3150.6517,3348.716,3249.68385,49,negative,-0.7585470085470085,-1318.3098591549297,0.9800000000000001,0.07657356239844904,0.030367401873742882,1.0165684771900203,nan
outbound,3.0,15.0,3300.0,3300.0,3199.6573,3397.7216,3298.68945,49,positive,0.673076923076923,1485.7142857142858,2.2119999999999997,0.1345412383289386,0.21153556383466723,1.3609313545722583,nan
outbound,3.0,15.0,3300.0,3300.0,3199.6573,3397.7216,3298.68945,49,negative,-0.7585470085470085,-1318.3098591549297,2.528,0.08092698967747876,0.11024721613832565,0.9759336844043157,nan
outbound,15.0,30.0,3300.0,3300.0,3199.6573,3397.7216,3298.68945,49,positive,0.608974358974359,1642.1052631578946,2.136,0.4122554576735595,0.5261744533727023,1.117824903317573,nan
outbound,15.0,30.0,3300.0,3300.0,3199.6573,3397.7216,3298.68945,49,negative,-0.608974358974359,-1642.1052631578946,2.656,0.08012191061056792,0.03297113572654448,1.0228601910119899,nan
outbound,3.0,15.0,3302.0,3302.0,3201.6992,3399.7635,3300.73135,49,positive,0.6196581196581197,1613.7931034482758,1.244,0.10898170426874498,0.038153837813746,0.7379415732134574,0.318
outbound,3.0,15.0,3302.0,3302.0,3201.6992,3399.7635,3300.73135,49,negative,-0.5555555555555556,-1800.0,2.58,0.09364699633843053,0.05557467372887386,1.1505806869498882,0.014
outbound,15.0,30.0,3302.0,3302.0,3201.6992,3399.7635,3300.73135,49,positive,0.6410256410256411,1560.0,2.34,0.446202554063232,0.2122162647150247,1.1426461451063203,0.002
outbound,15.0,30.0,3302.0,3302.0,3201.6992,3399.7635,3300.73135,49,negative,-0.7158119658119658,-1397.0149253731345,1.284,0.06222020374609786,0.02942207010940328,1.1479259496674667,0.24
outbound,3.0,15.0,3350.0,3350.0,3250.7048,3448.7691,3349.73695,49,positive,0.673076923076923,1485.7142857142858,2.344,0.12236613854854643,0.05199065199270838,1.4244469645128048,nan
outbound,3.0,15.0,3350.0,3350.0,3250.7048,3448.7691,3349.73695,49,negative,-0.7478632478632478,-1337.1428571428573,1.512,0.0900105353627732,0.08652701302358175,0.7735603093505641,nan
outbound,15.0,30.0,3350.0,3350.0,3250.7048,3448.7691,3349.73695,49,positive,0.6517094017094017,1534.4262295081967,2.368,0.5323346473473926,0.24303944915728679,1.1160861935772084,nan
outbound,15.0,30.0,3350.0,3350.0,3250.7048,3448.7691,3349.73695,49,negative,-0.7051282051282052,-1418.181818181818,0.184,0.050760710256136675,0.05964131759563527,1.0805847973317249,nan
outbound,3.0,15.0,3400.0,3400.0,3275.2076,3473.2719,3374.23975,49,positive,0.5876068376068376,1701.818181818182,2.36,0.1462128789376117,0.07171537434955173,1.5250492960804392,nan
outbound,3.0,15.0,3400.0,3400.0,3275.2076,3473.2719,3374.23975,49,negative,-0.7158119658119658,-1397.0149253731345,1.5599999999999998,0.09055351770073197,0.07009601515302112,0.9950410805771334,nan
outbound,15.0,30.0,3400.0,3400.0,3275.2076,3473.2719,3374.23975,49,positive,0.6517094017094017,1534.4262295081967,2.36,0.550691604585811,0.25801388703966194,1.0975607945316006,nan
outbound,15.0,30.0,3400.0,3400.0,3275.2076,3473.2719,3374.23975,49,negative,-0.6410256410256411,-1560.0,0.892,0.06915086195552395,0.01929375052929902,0.7115523661354672,nan
outbound,3.0,15.0,3450.0,3450.0,3275.2076,3473.2719,3374.23975,49,positive,0.5876068376068376,1701.818181818182,2.36,0.1462128789376117,0.07171537434955173,1.5250492960804392,nan
outbound,3.0,15.0,3450.0,3450.0,3275.2076,3473.2719,3374.23975,49,negative,-0.7158119658119658,-1397.0149253731345,1.5599999999999998,0.09055351770073197,0.07009601515302112,0.9950410805771334,nan
outbound,15.0,30.0,3450.0,3450.0,3275.2076,3473.2719,3374.23975,49,positive,0.6517094017094017,1534.4262295081967,2.36,0.550691604585811,0.25801388703966194,1.0975607945316006,nan
outbound,15.0,30.0,3450.0,3450.0,3275.2076,3473.2719,3374.23975,49,negative,-0.6410256410256411,-1560.0,0.892,0.06915086195552395,0.01929375052929902,0.7115523661354672,nan
return,3.0,15.0,3000.0,475.3137999999999,375.7096,573.7739,474.74175,49,positive,0.6196581196581197,1613.7931034482758,0.652,0.1104390138383202,0.1329108529697903,1.0296664984782498,nan
return,3.0,15.0,3000.0,475.3137999999999,375.7096,573.7739,474.74175,49,negative,-0.7692307692307693,-1300.0,0.020000000000000004,0.08254177975600867,0.018647703515499887,1.2239422870853853,nan
return,15.0,30.0,3000.0,475.3137999999999,375.7096,573.7739,474.74175,49,positive,0.6944444444444444,1440.0,0.516,0.46211537707079187,0.3939091130257562,1.016058102380198,nan
return,15.0,30.0,3000.0,475.3137999999999,375.7096,573.7739,474.74175,49,negative,-0.5769230769230769,-1733.3333333333335,1.208,0.2195199782611516,0.2207468469024339,1.415627940030253,nan
return,3.0,15.0,3050.0,425.3137999999999,324.6621,522.7264,423.69425,49,positive,0.608974358974359,1642.1052631578946,0.416,0.11827390996517545,0.08674113622007593,0.7022271662663587,nan
