leg,band_low_hz,band_high_hz,aperture_index,start_m,stop_m,center_m,direction,discovery_slowness_ms_per_m,discovery_center_time_s,discovery_semblance,validation_semblance
outbound,3.0,15.0,0,0.0,392.0448,199.08525,positive,0.7336182336182336,0.54,0.09111878464336949,0.09129443059341946
outbound,3.0,15.0,0,0.0,392.0448,199.08525,negative,-0.6445868945868946,0.020000000000000004,0.1593641603466271,0.1590004295678995
outbound,3.0,15.0,1,200.1062,592.1510000000001,399.19145000000003,positive,0.7692307692307693,0.664,0.09785674585416139,0.09681613661585567
outbound,3.0,15.0,1,200.1062,592.1510000000001,399.19145000000003,negative,-0.608974358974359,0.0,0.1737407509930258,0.23596467900648155
outbound,3.0,15.0,2,400.2124,792.2572,599.29765,positive,0.7336182336182336,0.5680000000000001,0.3782108495342952,0.27675082494247805
outbound,3.0,15.0,2,400.2124,792.2572,599.29765,negative,-0.5555555555555556,1.54,0.07664942064607336,0.03684685879986789
outbound,3.0,15.0,3,600.3186000000001,992.3634000000001,799.40385,positive,0.7336182336182336,0.516,0.6845794783522078,0.6795651232785659
outbound,3.0,15.0,3,600.3186000000001,992.3634000000001,799.40385,negative,-0.6801994301994302,2.044,0.1250596515522726,0.0679469858444758
outbound,3.0,15.0,4,800.4248,1192.4696000000001,999.51005,positive,0.698005698005698,0.548,0.423769096425599,0.3712446257808506
outbound,3.0,15.0,4,800.4248,1192.4696000000001,999.51005,negative,-0.5555555555555556,1.3159999999999998,0.15876995368689234,0.1501470355139161
outbound,3.0,15.0,5,1000.5310000000001,1392.5758,1199.61625,positive,0.7692307692307693,0.548,0.126622075197849,0.05487401683211503
outbound,3.0,15.0,5,1000.5310000000001,1392.5758,1199.61625,negative,-0.5555555555555556,1.5639999999999998,0.09834461792053983,0.0842613851467697
outbound,3.0,15.0,6,1200.6372000000001,1592.682,1399.72245,positive,0.698005698005698,0.9760000000000001,0.28633690903932313,0.49653211419589327
outbound,3.0,15.0,6,1200.6372000000001,1592.682,1399.72245,negative,-0.7158119658119658,2.484,0.07411985954786195,0.035661769082602615
