epoch,n_common_drops,leg,band_low_hz,band_high_hz,positive_power,negative_power,positive_minus_negative
0,18,outbound,3.0,15.0,0.079232501951903,0.011081462237845903,0.06815103971405709
0,18,outbound,15.0,30.0,0.10750729599460285,0.007112096886032237,0.10039519910857062
0,18,return,3.0,15.0,0.022539719310686678,0.007414266976691614,0.015125452333995064
0,18,return,15.0,30.0,0.0613794973760451,0.0070399845223405744,0.05433951285370453
1,17,outbound,3.0,15.0,0.07946421683080478,0.00844937734334787,0.0710148394874569
1,17,outbound,15.0,30.0,0.12101978992067847,0.006942673706465572,0.11407711621421289
1,17,return,3.0,15.0,0.02580611459706906,0.007258051904379078,0.01854806269268998
1,17,return,15.0,30.0,0.07519312570308273,0.006528612836119704,0.06866451286696303
2,18,outbound,3.0,15.0,0.0668158113770482,0.007776412916062205,0.05903939846098599
2,18,outbound,15.0,30.0,0.0986668995628853,0.007066305904294903,0.0916005936585904
2,18,return,3.0,15.0,0.026149473850630475,0.007805833530394886,0.01834364032023559
2,18,return,15.0,30.0,0.06763614750424021,0.007284555538636358,0.06035159196560386
3,18,outbound,3.0,15.0,0.07440753355372753,0.007155441479456639,0.0672520920742709
3,18,outbound,15.0,30.0,0.09996024429327934,0.008241724388944719,0.09171851990433462
3,18,return,3.0,15.0,0.02381003748944119,0.006234513347026965,0.01757552414241423
3,18,return,15.0,30.0,0.06988778127614334,0.0075827843060601915,0.06230499697008315
4,19,outbound,3.0,15.0,0.07978766384054996,0.007798490812666174,0.07198917302788378
4,19,outbound,15.0,30.0,0.12812864840996474,0.0077900617950577905,0.12033858661490696
4,19,return,3.0,15.0,0.025983511263699778,0.006904850605935181,0.019078660657764597
4,19,return,15.0,30.0,0.08198234163346169,0.007155180533935576,0.07482716109952611
5,19,outbound,3.0,15.0,0.08709917264731432,0.009468076251729976,0.07763109639558434
5,19,outbound,15.0,30.0,0.1314300299200996,0.007456005770818744,0.12397402414928087
5,19,return,3.0,15.0,0.02557574450919397,0.006771747956591278,0.01880399655260269
5,19,return,15.0,30.0,0.07266842791590955,0.0068521355133881,0.06581629240252145
6,17,outbound,3.0,15.0,0.0850540549212777,0.011734879228277886,0.07331917569299981
6,17,outbound,15.0,30.0,0.12251883819989837,0.008329642954392417,0.11418919524550594
6,17,return,3.0,15.0,0.03444266863479493,0.008860873135506108,0.02558179549928882
6,17,return,15.0,30.0,0.08602943955446181,0.006787752398916957,0.07924168715554485
7,19,outbound,3.0,15.0,0.09926540081889729,0.01169865341906431,0.08756674739983297
7,19,outbound,15.0,30.0,0.1064161526042359,0.007656794721445437,0.09875935788279046
7,19,return,3.0,15.0,0.030118404842580396,0.01049158427679292,0.019626820565787476
7,19,return,15.0,30.0,0.061766696375455565,0.006550389256876621,0.055216307118578944
8,19,outbound,3.0,15.0,0.08270668901344563,0.007847420099974052,0.07485926891347158
8,19,outbound,15.0,30.0,0.11692352677116061,0.006753882878552622,0.11016964389260799
8,19,return,3.0,15.0,0.03026124401690257,0.007872075699319792,0.022389168317582777
