leg,band_low_hz,band_high_hz,rank_discovery,center_m,start_m,stop_m,discovery_p_ms_per_m,velocity_mps,discovery_power,validation_fixed_power,validation_negative_power,validation_pos_neg_ratio,time_semblance,surface_intercept_s,band_split_null_p
outbound,3.0,15.0,1,799.40385,600.3186000000001,998.4891,0.7200000000000002,1388.8888888888887,0.3796908,0.4054167083189779,0.021560294553637505,18.80385758693537,0.700423778107075,-0.04399999999999997,0.002
outbound,3.0,15.0,2,599.29765,400.2124,798.3829000000001,0.67,1492.5373134328358,0.338175,0.36124598454825047,0.01972719468176365,18.312080880014634,0.30035992298402653,0.1600000000000002,0.002
outbound,3.0,15.0,3,2200.14725,2001.0620000000001,2399.2325,0.6400000000000001,1562.4999999999995,0.18312515,0.2244164573624868,0.009338376112282276,24.031636192862656,0.3564318528579475,0.06000000000000012,0.002
outbound,3.0,15.0,4,2400.25345,2201.1682,2599.3387000000002,0.6500000000000001,1538.461538461538,0.17128992,0.24507022037191104,0.012177514843642712,20.124813931132284,0.2180262190610168,0.0320000000000001,0.002
outbound,3.0,15.0,5,1599.82865,1400.7434,1798.9139,0.6600000000000003,1515.1515151515146,0.1643229,0.2114267548992389,0.00383964111097157,55.06419709256112,0.36961883141162427,0.09200000000000015,0.002
outbound,3.0,15.0,6,399.19145000000003,200.1062,598.2767,0.67,1492.5373134328358,0.14756696,0.1518789359049232,0.027106093242764473,5.603128954980069,0.08424057965569048,0.4000000000000004,0.002
outbound,15.0,30.0,1,799.40385,600.3186000000001,998.4891,0.7200000000000002,1388.8888888888887,0.33838308,0.35297393363545104,0.007533588912338018,46.85335737623982,0.44106725223377224,-0.06399999999999999,0.002
outbound,15.0,30.0,2,2400.25345,2201.1682,2599.3387000000002,0.6500000000000001,1538.461538461538,0.2079533,0.23107368701005154,0.011047979816794395,20.915469691462405,0.6530301288824876,-0.011999999999999941,0.002
outbound,15.0,30.0,3,599.29765,400.2124,798.3829000000001,0.7100000000000001,1408.450704225352,0.19562902,0.2000116469408055,0.0051151299849152565,39.10196760016826,0.41504516690838555,0.22400000000000025,0.002
outbound,15.0,30.0,4,2800.46585,2601.3806,2999.5511,0.6500000000000001,1538.461538461538,0.19177261,0.21004245915247569,0.016517315059900284,12.716501343635672,0.6277649358456229,-0.039999999999999966,0.002
outbound,15.0,30.0,5,999.51005,800.4248,1198.5953,0.7000000000000001,1428.5714285714284,0.19108412,0.17570561530776072,0.008769621141254902,20.035713342414454,0.38727508906815844,-0.076,0.002
outbound,15.0,30.0,6,2600.35965,2401.2744000000002,2799.4449,0.6500000000000001,1538.461538461538,0.19069594,0.22532723318636882,0.012204566039144993,18.462535453014308,0.6584574074784388,-0.011999999999999941,0.002
return,3.0,15.0,1,2800.46585,2601.3806,2999.5511,0.6500000000000001,1538.461538461538,0.07529291,0.08946583849691715,0.028026673942804337,3.1921675286726954,0.05650608232297229,0.32400000000000034,0.002
return,3.0,15.0,2,399.19145000000003,200.1062,598.2767,0.7200000000000002,1388.8888888888887,0.056027934,0.05595394298864462,0.006944901309907436,8.056837742074464,0.13555159920326834,0.2640000000000003,0.002
return,3.0,15.0,3,2600.35965,2401.2744000000002,2799.4449,0.6400000000000001,1562.4999999999995,0.036400568,0.035244799897191446,0.011787567287683487,2.9899977694309996,0.04259544384212512,0.35200000000000037,0.002
return,3.0,15.0,4,2200.14725,2001.0620000000001,2399.2325,0.6500000000000001,1538.461538461538,0.034697976,0.027765982402405246,0.005837259814143181,4.756680923321358,0.025606717614636433,0.3680000000000004,0.002
return,3.0,15.0,5,2400.25345,2201.1682,2599.3387000000002,0.6600000000000003,1515.1515151515146,0.034556326,0.027171653747896936,0.008059105835855007,3.3715469558682423,0.033761751748367715,0.34800000000000036,0.002
return,3.0,15.0,6,199.08525,0.0,398.1705,0.67,1492.5373134328358,0.027074272,0.023739656436955664,0.0072563025169074535,3.2715913347936345,0.009770664243839796,0.2800000000000003,0.002
return,15.0,30.0,1,2800.46585,2601.3806,2999.5511,0.6400000000000001,1562.4999999999995,0.11258623,0.14683405293380558,0.01118937786668539,13.122628861340079,0.34629294210431544,0.2600000000000003,0.002
return,15.0,30.0,2,399.19145000000003,200.1062,598.2767,0.7200000000000002,1388.8888888888887,0.07446847,0.07054146495231496,0.0067444914020597935,10.459122971195622,0.36947804336760537,0.18400000000000022,0.002
return,15.0,30.0,3,2200.14725,2001.0620000000001,2399.2325,0.6500000000000001,1538.461538461538,0.070659794,0.04806764187003408,0.007381879258900881,6.511572485024779,0.220777914016989,0.23600000000000027,0.002
return,15.0,30.0,4,2600.35965,2401.2744000000002,2799.4449,0.6500000000000001,1538.461538461538,0.06296829,0.07148974769464356,0.009941309690475464,7.191180027631189,0.18315720372348443,0.2600000000000003,0.002
return,15.0,30.0,5,2400.25345,2201.1682,2599.3387000000002,0.6400000000000001,1562.4999999999995,0.06046795,0.05225303174927026,0.006624852307140827,7.887425911812029,0.16831550486272864,0.2600000000000003,0.002
return,15.0,30.0,6,2000.04105,1800.9558,2199.1263,0.6500000000000001,1538.461538461538,0.055701133,0.036542314341983816,0.00495944544672966,7.368225890271748,0.1528391675236583,0.23600000000000027,0.002
