burst_id,n_drops,start_utc,start_local_pdt,duration_s,median_node9_cc,n_nano_covered,n_deep_covered,n_paired_covered,n_nano_detected,median_nano_beam_snr_db
0,20,2026-06-16T23:47:09.409500,2026-06-16T16:47:09.409500,174.6,0.9835,20,20,20,10,11.61
1,20,2026-06-17T00:16:12.779000,2026-06-16T17:16:12.779000,161.3,0.8392,20,20,20,5,3.64
2,20,2026-06-17T00:46:24.629000,2026-06-16T17:46:24.629000,154.4,0.7869,20,20,20,20,24.16
3,20,2026-06-17T01:16:19.085500,2026-06-16T18:16:19.085500,159.8,0.8423,20,20,20,0,2.65
4,21,2026-06-17T01:46:13.476500,2026-06-16T18:46:13.476500,158.6,0.7969,21,21,21,5,5.30
5,20,2026-06-17T02:16:14.740000,2026-06-16T19:16:14.740000,168.3,0.7931,20,20,20,6,5.88
6,19,2026-06-17T02:46:59.073500,2026-06-16T19:46:59.073500,158.5,0.8332,19,19,19,4,6.41
7,20,2026-06-17T03:16:53.602000,2026-06-16T20:16:53.602000,163.2,0.8609,20,20,20,10,10.39
8,21,2026-06-17T03:46:40.941000,2026-06-16T20:46:40.941000,183.7,0.8328,21,21,21,17,22.44
9,19,2026-06-17T04:17:23.067000,2026-06-16T21:17:23.067000,162.0,0.8909,19,19,19,15,24.26
10,20,2026-06-17T04:46:33.612500,2026-06-16T21:46:33.612500,170.0,0.8560,20,20,20,5,7.86
11,20,2026-06-17T05:17:19.764000,2026-06-16T22:17:19.764000,174.3,0.8098,20,20,20,0,3.00
12,20,2026-06-17T05:47:22.978500,2026-06-16T22:47:22.978500,170.2,0.8646,20,20,20,10,11.69
13,20,2026-06-17T06:17:40.282500,2026-06-16T23:17:40.282500,163.0,0.8380,20,20,20,12,12.07
14,20,2026-06-17T06:47:57.203500,2026-06-16T23:47:57.203500,164.7,0.8263,20,20,20,20,25.14
15,20,2026-06-17T07:17:59.428000,2026-06-17T00:17:59.428000,163.6,0.8447,20,20,20,0,1.97
16,21,2026-06-17T07:48:23.707500,2026-06-17T00:48:23.707500,176.7,0.8425,21,21,21,15,25.45
17,20,2026-06-17T08:18:07.204000,2026-06-17T01:18:07.204000,163.5,0.8449,20,20,20,0,1.29
18,20,2026-06-17T08:48:33.617000,2026-06-17T01:48:33.617000,167.7,0.8511,20,20,20,10,12.34
19,20,2026-06-17T09:18:25.070000,2026-06-17T02:18:25.070000,171.1,0.8558,20,20,20,13,12.85
20,20,2026-06-17T09:48:21.302500,2026-06-17T02:48:21.302500,169.5,0.8526,20,20,20,14,16.35
21,20,2026-06-17T10:18:57.508000,2026-06-17T03:18:57.508000,169.5,0.8592,20,20,20,2,4.10
22,20,2026-06-17T10:48:41.139000,2026-06-17T03:48:41.139000,179.6,0.8803,20,20,20,0,2.30
23,19,2026-06-17T11:18:46.230000,2026-06-17T04:18:46.230000,177.4,0.8728,19,19,19,19,24.10
24,20,2026-06-17T11:49:49.946500,2026-06-17T04:49:49.946500,168.4,0.8645,20,20,20,8,9.02
25,20,2026-06-17T12:18:51.864500,2026-06-17T05:18:51.864500,191.8,0.8794,20,20,20,6,7.59
26,19,2026-06-17T12:48:42.907000,2026-06-17T05:48:42.907000,166.8,0.8767,19,19,19,0,2.62
27,20,2026-06-17T13:18:41.540500,2026-06-17T06:18:41.540500,174.5,0.9208,20,20,20,3,3.72
28,20,2026-06-17T13:46:19.116500,2026-06-17T06:46:19.116500,174.0,0.9223,20,20,20,0,5.86
29,20,2026-06-17T14:16:53.643500,2026-06-17T07:16:53.643500,165.6,0.9133,20,20,20,19,24.42
30,20,2026-06-17T14:45:57.163000,2026-06-17T07:45:57.163000,185.2,0.9276,20,20,20,0,1.89
31,20,2026-06-17T15:16:20.681500,2026-06-17T08:16:20.681500,171.7,0.9095,20,20,20,2,6.39
32,20,2026-06-17T15:47:02.306000,2026-06-17T08:47:02.306000,184.0,0.8891,20,20,20,0,1.09
