drop_index,utc_time,local_time_pdt,burst_id,drop_id_in_burst,node9_max_cc,node4_offset_ms,nano_covered,deep_covered,paired_covered,nano_loo_signal_ncc,nano_loo_noise_ncc,nano_beam_snr_db,nano_relative_amplitude,nano_detected,source_miniseed
0,2026-06-16T23:47:09.409500,2026-06-16T16:47:09.409500,0,0,0.9282,+0.00,1,1,1,0.9526,0.1957,21.26,0.7166,1,453009664.2026.06.16.23.38.55.000.Z.miniseed
1,2026-06-16T23:47:23.100000,2026-06-16T16:47:23.100000,0,1,0.9969,+0.00,1,1,1,0.9645,0.1530,12.25,0.8219,1,453009664.2026.06.16.23.38.55.000.Z.miniseed
2,2026-06-16T23:47:32.557000,2026-06-16T16:47:32.557000,0,2,0.9196,+0.50,1,1,1,0.9578,0.3369,11.61,0.8418,1,453009664.2026.06.16.23.38.55.000.Z.miniseed
3,2026-06-16T23:47:41.957000,2026-06-16T16:47:41.957000,0,3,0.9983,+0.00,1,1,1,0.9068,0.2480,9.54,0.9793,0,453009664.2026.06.16.23.38.55.000.Z.miniseed
4,2026-06-16T23:47:51.841500,2026-06-16T16:47:51.841500,0,4,0.9988,+0.50,1,1,1,0.9544,0.1227,7.86,0.9329,0,453009664.2026.06.16.23.38.55.000.Z.miniseed
5,2026-06-16T23:48:01.759000,2026-06-16T16:48:01.759000,0,5,1.0000,+0.50,1,1,1,0.9593,0.2516,20.46,0.8816,1,453009664.2026.06.16.23.38.55.000.Z.miniseed
6,2026-06-16T23:48:10.999000,2026-06-16T16:48:10.999000,0,6,0.8280,+1.00,1,1,1,0.9511,0.0829,22.93,0.9011,1,453009664.2026.06.16.23.38.55.000.Z.miniseed
7,2026-06-16T23:48:20.509000,2026-06-16T16:48:20.509000,0,7,0.9842,+0.50,1,1,1,0.9632,0.1776,22.12,0.9659,1,453009664.2026.06.16.23.38.55.000.Z.miniseed
8,2026-06-16T23:48:28.963000,2026-06-16T16:48:28.963000,0,8,0.9935,+0.50,1,1,1,0.3934,0.1801,1.58,2.2283,0,453009664.2026.06.16.23.38.55.000.Z.miniseed
9,2026-06-16T23:48:37.465000,2026-06-16T16:48:37.465000,0,9,0.9898,+0.50,1,1,1,0.3518,0.3530,4.56,4.7485,0,453009664.2026.06.16.23.38.55.000.Z.miniseed
10,2026-06-16T23:48:45.465500,2026-06-16T16:48:45.465500,0,10,0.9865,+0.50,1,1,1,0.8325,0.3336,5.08,1.5049,0,453009664.2026.06.16.23.38.55.000.Z.miniseed
