fiber,band_low_hz,band_high_hz,epoch,n_common_drops,reference_speed_mps,reference_intercept_s,epoch_speed_mps,epoch_intercept_s,epoch_semblance,epoch_rms
nano,5.0,15.0,0,18,3350.0,0.13000000000000017,3650.0,0.1480000000000002,0.05101640899668875,0.023016427611349224
nano,5.0,15.0,1,17,3350.0,0.13000000000000017,3050.0,0.12200000000000015,0.015385413952071669,0.030395890134977958
nano,5.0,15.0,2,18,3350.0,0.13000000000000017,3350.0,0.13000000000000017,0.17910697473332451,0.012101846451400186
nano,5.0,15.0,3,18,3350.0,0.13000000000000017,3650.0,0.1480000000000002,0.04414871550068567,0.02942029000676358
nano,5.0,15.0,4,19,3350.0,0.13000000000000017,3575.0,0.14000000000000018,0.0610664659116311,0.02517654959559174
nano,5.0,15.0,5,19,3350.0,0.13000000000000017,3100.0,0.1480000000000002,0.07120549595661571,0.027023997135057043
nano,5.0,15.0,6,17,3350.0,0.13000000000000017,3400.0,0.1480000000000002,0.04894830815477268,0.028202148687802908
nano,5.0,15.0,7,19,3350.0,0.13000000000000017,3075.0,0.13200000000000017,0.1688331919850602,0.015300429893396358
nano,5.0,15.0,8,19,3350.0,0.13000000000000017,3050.0,0.13800000000000018,0.10691574738142337,0.0180670194595128
nano,5.0,15.0,9,18,3350.0,0.13000000000000017,3050.0,0.1480000000000002,0.08998626726876904,0.02173329690537838
nano,5.0,15.0,10,18,3350.0,0.13000000000000017,3075.0,0.1480000000000002,0.03425332684576699,0.03842765992136996
nano,5.0,15.0,11,18,3350.0,0.13000000000000017,3475.0,0.12200000000000015,0.08295738816501604,0.023955226868079518
nano,5.0,15.0,12,18,3350.0,0.13000000000000017,3650.0,0.12800000000000017,0.10883107876456294,0.018122678094097067
nano,5.0,15.0,13,20,3350.0,0.13000000000000017,3050.0,0.12600000000000017,0.14140934950980213,0.015648086401901157
nano,5.0,15.0,14,20,3350.0,0.13000000000000017,3200.0,0.13000000000000017,0.18802185595414705,0.013558945671122744
nano,5.0,15.0,15,19,3350.0,0.13000000000000017,3475.0,0.13000000000000017,0.0939144358796669,0.023465721054834097
nano,5.0,15.0,16,20,3350.0,0.13000000000000017,3200.0,0.13200000000000017,0.17852773398042202,0.017015856674257628
nano,5.0,15.0,17,20,3350.0,0.13000000000000017,3350.0,0.12600000000000017,0.1062583955146194,0.022117023749705405
nano,5.0,15.0,18,18,3350.0,0.13000000000000017,3075.0,0.1480000000000002,0.09513219646276526,0.03079816082032627
nano,5.0,15.0,19,18,3350.0,0.13000000000000017,3200.0,0.13000000000000017,0.1712432428515828,0.01798319801980507
nano,5.0,15.0,20,19,3350.0,0.13000000000000017,3650.0,0.12600000000000017,0.177177715095524,0.017498396628087835
nano,5.0,15.0,21,19,3350.0,0.13000000000000017,3625.0,0.14600000000000019,0.06937446275490679,0.03537556100666601
nano,5.0,15.0,22,18,3350.0,0.13000000000000017,3625.0,0.1480000000000002,0.029294708360807303,0.0635096535966147
nano,5.0,15.0,23,18,3350.0,0.13000000000000017,3050.0,0.13000000000000017,0.18578264352985044,0.020176686563306904
nano,5.0,15.0,24,20,3350.0,0.13000000000000017,3075.0,0.12800000000000017,0.1759284359087146,0.02254772157041029
nano,5.0,15.0,25,20,3350.0,0.13000000000000017,3050.0,0.1480000000000002,0.03403227186522189,0.05062731465978977
nano,5.0,15.0,26,18,3350.0,0.13000000000000017,3100.0,0.11600000000000014,0.05258882789580465,0.054286309294894815
nano,5.0,15.0,27,19,3350.0,0.13000000000000017,3050.0,0.1480000000000002,0.08303578637446263,0.039210883142990476
nano,5.0,15.0,28,17,3350.0,0.13000000000000017,3125.0,0.12800000000000017,0.09196940117562624,0.02300041510750949
nano,5.0,15.0,29,18,3350.0,0.13000000000000017,3200.0,0.12800000000000017,0.15259160105672387,0.014593457655322417
nano,5.0,15.0,30,19,3350.0,0.13000000000000017,3050.0,0.14600000000000019,0.06614601525308354,0.028803202357113526
nano,5.0,15.0,31,18,3350.0,0.13000000000000017,3075.0,0.14200000000000018,0.11555577617480976,0.023273768675875415
nano,5.0,15.0,32,19,3350.0,0.13000000000000017,3625.0,0.1480000000000002,0.051122102477440465,0.03363155295944444
nano,5.0,15.0,33,19,3350.0,0.13000000000000017,3050.0,0.1480000000000002,0.06661655461301842,0.02996279510518886
nano,5.0,15.0,34,21,3350.0,0.13000000000000017,3200.0,0.11200000000000014,0.08435019887064316,0.019144682208390187
nano,5.0,15.0,35,17,3350.0,0.13000000000000017,3650.0,0.12600000000000017,0.15895026668376536,0.01806763564557347
nano,5.0,15.0,36,19,3350.0,0.13000000000000017,3050.0,0.12000000000000015,0.038615498695734045,0.03940793350904303
nano,5.0,15.0,37,18,3350.0,0.13000000000000017,3050.0,0.12600000000000017,0.03571506079646256,0.041651320345151115
nano,5.0,15.0,38,19,3350.0,0.13000000000000017,3150.0,0.13000000000000017,0.1563509865481005,0.016849135561456258
nano,5.0,15.0,39,22,3350.0,0.13000000000000017,3600.0,0.12600000000000017,0.10907611314279134,0.02291143817136194
nano,5.0,15.0,40,18,3350.0,0.13000000000000017,3050.0,0.1480000000000002,0.08639831966976176,0.027509133609893082
nano,5.0,15.0,41,18,3350.0,0.13000000000000017,3650.0,0.12800000000000017,0.12869083549816493,0.019717086261825847
nano,5.0,15.0,42,19,3350.0,0.13000000000000017,3625.0,0.11400000000000014,0.10363478915404234,0.021846558390504738
nano,5.0,15.0,43,19,3350.0,0.13000000000000017,3075.0,0.12600000000000017,0.08502944543064839,0.018344356892943697
nano,5.0,15.0,44,18,3350.0,0.13000000000000017,3300.0,0.13000000000000017,0.16443746275697732,0.017257696137335632
nano,5.0,15.0,45,19,3350.0,0.13000000000000017,3650.0,0.14000000000000018,0.07189344837895646,0.020654017354854594
nano,15.0,30.0,0,18,2950.0,-0.044,2975.0,-0.03799999999999999,0.24126695555625086,0.008421143288079401
nano,15.0,30.0,1,17,2950.0,-0.044,2825.0,-0.03199999999999999,0.16932978999131879,0.010359898147053117
nano,15.0,30.0,2,18,2950.0,-0.044,2975.0,-0.044,0.4331117321272796,0.006685400888722905
nano,15.0,30.0,3,18,2950.0,-0.044,2975.0,-0.03799999999999999,0.06547394408083859,0.021995953061985454
nano,15.0,30.0,4,19,2950.0,-0.044,2650.0,-0.02599999999999998,0.01768661820058866,0.03971830573050245
nano,15.0,30.0,5,19,2950.0,-0.044,3050.0,-0.05,0.015290656845111236,0.04580701002203038
nano,15.0,30.0,6,17,2950.0,-0.044,2850.0,-0.046,0.047813323362018274,0.02556583014595896
nano,15.0,30.0,7,19,2950.0,-0.044,2725.0,-0.02599999999999998,0.13471953891149546,0.011818203707342512
nano,15.0,30.0,8,19,2950.0,-0.044,3075.0,-0.02599999999999998,0.0690612098359464,0.01892561594690226
nano,15.0,30.0,9,18,2950.0,-0.044,3050.0,-0.044,0.03957691382561787,0.02154789191250314
nano,15.0,30.0,10,18,2950.0,-0.044,3125.0,-0.046,0.02660055241679206,0.020491970532706506
nano,15.0,30.0,11,18,2950.0,-0.044,2925.0,-0.05,0.02807831748790552,0.0332533448669094
nano,15.0,30.0,12,18,2950.0,-0.044,2900.0,-0.02599999999999998,0.20450792963796807,0.010033641301057782
nano,15.0,30.0,13,20,2950.0,-0.044,2950.0,-0.046,0.35693075657497125,0.00760994095190644
nano,15.0,30.0,14,20,2950.0,-0.044,2850.0,-0.05,0.3792680156128225,0.006984630828298356
nano,15.0,30.0,15,19,2950.0,-0.044,2700.0,-0.02599999999999998,0.041966408414513996,0.0255252298238903
nano,15.0,30.0,16,20,2950.0,-0.044,2975.0,-0.03799999999999999,0.2105977638901088,0.011383242754616035
nano,15.0,30.0,17,20,2950.0,-0.044,3100.0,-0.02599999999999998,0.019578184570898237,0.027930515955268933
nano,15.0,30.0,18,18,2950.0,-0.044,3050.0,-0.044,0.071157936648646,0.023004484622393566
nano,15.0,30.0,19,18,2950.0,-0.044,2925.0,-0.02599999999999998,0.12995680955300093,0.01716906104667254
nano,15.0,30.0,20,19,2950.0,-0.044,3000.0,-0.041999999999999996,0.27125068608646263,0.010165317648487585
