trial_id,target_epoch,injected_dvv
N727c13fa29045f5c,27,-0.002
N1610eafb4b827b90,24,0.0002
N32e5a401569646a2,12,0.0002
N2fbb626e82b7d92b,0,-0.01
N041dfbae3d01f47e,41,-0.005
N6d4163959cd769ce,12,0.01
N311f8f51b629ae51,45,-0.001
N5d38472dd7028961,31,0
N22d1a6c6552c0968,33,0.0005
N022c5edd1e6471b7,8,-0.01
N06fae1cb7d929a0a,29,-0.0001
N2842efdde4e90704,45,-0.005
N0ac7575620539d05,41,-0.001
N04451d8237d0de34,32,-0.005
N05e39213acd44787,25,0.0005
N123deb44db10915b,21,0.0002
N1db9194becd8cba6,28,-0.01
N0046d71814993051,6,0
N1a3001ccc5eec18a,44,-0.001
N60ef7cb1c8165c68,39,0.0002
N6b6e9066f1e6b662,32,0.0002
N5fc89a4f3e5f446b,0,0.0005
N743040daa86a5202,9,0.0005
N280bd2c3e1d979b3,15,-0.01
N56da5d846e48a05b,1,0.0005
N499dbe2dda760589,6,0.001
N4e06d32199dbbeae,33,0.01
N68891508f58cebd3,42,0.005
N324067c16527218c,24,0.0005
N51eb3c50343f5eab,40,-0.0002
N5498030c1a1e99da,3,-0.0001
N35f1f28f0fa36539,19,-0.001
N1994f09588572b9f,15,0.005
N26a86e2af0ccd950,18,-0.002
N7485bacb24573d37,27,-0.0005
N44da14cf9c4e94e5,21,-0.002
N5778594545ae8aed,17,0
N2ce3a89456f06c7f,11,-0.002
N6e22fc5654c217d2,16,-0.001
N37db5aa23983f541,4,-0.002
N664f8f03944a59f6,10,-0.002
N417b33f39635ede9,23,0.0005
N2c3f7cc850cb6c1b,39,-0.002
N507825d53e7cfbf1,36,-0.0005
N7ee58f82a9ab896e,44,0.0005
N76244872640e1509,33,-0.0002
N1bbfb14a8cb01b3d,26,-0.01
N57476f329abf60d9,28,-0.0005
N5c74844fff8585b1,15,0.001
N14420e9e0ad649e5,2,-0.0001
N4344f43b50613dd8,7,0.005
N147d1db1fe768ce2,1,0.0002
N65d9d5ff712dd76f,37,-0.0002
N47d563ae419869ba,32,-0.002
N6e7810f5094431b5,9,-0.002
N76ce678a5d736ebf,44,-0.01
N34e8ada771f7c79d,28,-0.001
N69ebda39153a24b2,1,-0.0001
N700d33918af5abe2,5,0.0002
N59b2f7a37237f276,42,0.0001
N282b0f3f1f8b57b7,3,0.002
N336e879156a7e7ab,42,-0.0002
N169793a188efd5d8,43,0.0002
N579bb6d58a8c13ef,11,0.002
N4a6500436d91deb3,34,0.01
N6a5faada16639ee7,39,0
N2a6c9711ef96617b,13,0.0002
N1638a2aaf38730d2,10,0.0001
N62ae0bf3d107c58e,0,0
N6acc4b46590839ae,16,0.0005
N4c89562c2e3a8dc4,44,-0.0002
N16c0df7bd828d14f,43,-0.0005
N5cca2b51e1aa7916,15,0.002
N0aaac581d87b7fed,18,0.0005
N1d16fbf6ce46ebdf,34,-0.0001
N61dad4a256e12d32,25,0.005
N47ce439e7bea3b2e,33,0.005
N1d6ce48584840505,0,-0.0005
N739ec45f342bc305,7,0.01
N2a4f9f45f4340c2f,36,0.01
N514b461406f35df9,41,0.0005
N656900f97c77aa2d,20,-0.01
N2505ace17e4519db,38,-0.005
N47f227d953479b5c,1,0.01
N2518ba795fa3d027,30,0.0001
N0b01d929040365b3,2,0.001
N012018360b074212,31,0.001
N45da997b080f6029,18,0
N2ce61ba731f69100,5,-0.002
N3f10d1c4d69c7533,17,-0.01
N049d54a473cdc1ea,34,0.0005
N144ea0ada08b1875,30,-0.0005
N426f20d14e68ada3,34,0.002
N7c7c2f11f14e83c8,13,-0.01
N4f89e26af28042a1,45,0.0001
N094d4ec9d3cee9b2,13,-0.005
N605c5dfc16a0d3c6,23,0.001
N6a4f28896ef26864,39,0.01
N468fe16268cce27b,29,0.002
N5888822412743f9e,29,0.0001
N6d908c9db4d3203d,36,-0.0001
N29b44fd359d947f7,11,0
N0eedb9c3aa0e982c,32,-0.0005
N6f329ad64d6e8287,35,-0.001
N7e18279449bf9b27,22,0
N3ecdcd141b916811,29,0.005
N36c847b8980e34f0,35,0.001
N61bad0d511f57088,17,0.0001
N4b6a4310151a0c80,27,-0.005
N6b3a2ab464f06a78,32,0.001
N23397a8510df7a06,11,0.0002
N3b955a6747f12195,21,-0.001
N3c50fc67bb9dad6d,16,-0.0002
N5071a823a9c69fd6,10,-0.005
N1819a14d7b414a51,15,-0.005
N466a5c24a9f68fa2,23,-0.002
N1736828c29041b4c,42,0.01
N1d249f0f55fa9bba,18,0.001
N523e0ae41adb8b29,8,-0.0005
N4cc399b2a5f7eff9,28,0.002
N7ac46b634423a7d5,42,0.0002
N43d251c8df0ff8fd,26,-0.0005
N4f015ea8c608c892,36,-0.002
N40900c307db8ee37,36,-0.001
N6a1c02299087a589,14,0.0005
N1e01eadb06734eca,5,0.0005
N03bf870504d016b0,11,-0.0005
N184e9ca14408cb90,17,0.0002
N758bf833708ba2be,26,0.0002
N6bd6800f5a7d93d3,22,-0.001
N61a6b40d8a38015e,15,-0.0005
N5092ad8dba118b8c,10,-0.001
N12b7b1755772b402,19,0.002
N1d4ebdca8b46aac7,11,0.01
N43133460a1274800,31,-0.002
N53827350dbc8c2b1,13,-0.0005
N31676284c9e42380,39,0.0001
N1b0a4eaadbbf931d,14,-0.01
N153ec503f8742d11,17,-0.001
N5d2f2a4a6d2bea64,44,-0.0001
N307abd1b3fb02935,20,0.0001
N54fd3f3db751d295,30,0.005
N75c7d0d878b28b7f,6,-0.0005
N16da3c1195a1ad5e,30,0.002
N51aa5ffad8d9ac3d,12,0.002
N5b6ddefd05b29feb,40,0.001
N2f0fa03c6b4da041,4,0.0001
N32667377e8ad3587,20,0.005
N0b3500d667e4eb1d,34,-0.0005
N01469229037877a4,29,0
N693c5b67cde2eb7c,45,-0.0005
N21be9d3ccfd623df,16,0.0001
N3139c9e3335fd2f1,41,-0.0001
N3538d79ff75eb8a0,34,0.0002
N2906313b87ba0b32,6,-0.002
N685d61def4f63113,18,-0.005
N067ad8a071433330,7,-0.002
N672aa27807d0e46b,7,-0.005
N1a3b41ebe6f9829d,14,0.0002
N6e3e8b43952c7699,9,0.0001
N7e035b305ab327a0,10,-0.01
N53c3b80de9e5af91,40,-0.0001
N26a0f34ca98ff0a5,10,0.0005
N0c600d6ae21a2a48,9,-0.0001
N4bab25425ba7a167,24,0.001
N7a02818cf1013334,39,-0.0001
N41de1b1bd7f45226,45,-0.002
N0cc083646189ee4e,0,0.01
N470b5b07495bcfe1,16,0.0002
N3968a417c0b4e501,31,0.0002
N62c7d99c7e5d9e79,9,-0.001
N0abdb9eaaa7ad7ce,33,-0.0005
N24b1090e621c9668,24,-0.01
N57b10453b6312d06,19,-0.01
N2d879994fe466ba2,4,-0.0005
N4521996c33ae8fe6,20,0.001
N61c0a0929bf8a566,26,0
N4e5414d6997be9bf,1,-0.005
N6febf3b8df292929,32,-0.01
N36614e46287f0a28,24,0.002
N0f764e91cde8da96,1,-0.002
N7bc739e1541975cb,21,0.001
N588693dd302ac931,44,0.001
N6e7cd2a38c887f39,23,0.0002
N1e6ba1f4dc5efed3,12,0.001
N59d66a2ed92f761d,13,0
N19cd031f4715d925,42,-0.002
N2f59afdadf35eac1,1,-0.01
N117615c26085ab82,10,-0.0005
N50d020787a8452ac,27,0.0001
