band_low_hz,band_high_hz,canonical_burst_index,n_common_drops,positive_slowness_ms_per_m,positive_t0_s,positive_semblance,negative_slowness_ms_per_m,negative_t0_s,negative_semblance,direction_margin
15.0,25.0,0,18,0.3076923076923077,-0.092,0.2846399247646332,-0.5,-0.031999999999999945,0.09972791373729706,0.18491201102733612
15.0,25.0,1,17,0.26666666666666666,-0.05199999999999996,0.06327931582927704,-0.625,0.048000000000000126,0.08545046299695969,-0.022171147167682648
15.0,25.0,2,18,0.3076923076923077,-0.092,0.262407511472702,-0.38461538461538464,-0.007999999999999924,0.10326949506998062,0.1591380164027214
15.0,25.0,3,18,0.3076923076923077,-0.092,0.26350724697113037,-0.38461538461538464,-0.007999999999999924,0.10456477850675583,0.15894246846437454
15.0,25.0,4,19,0.4166666666666667,0.18000000000000024,0.04473695904016495,-0.6666666666666666,0.08400000000000016,0.07862978428602219,-0.03389282524585724
15.0,25.0,5,19,0.2985074626865672,-0.092,0.1144002228975296,-0.32786885245901637,-0.007999999999999924,0.11146065592765808,0.002939566969871521
15.0,25.0,6,17,0.3333333333333333,-0.092,0.06032661348581314,-0.45454545454545453,0.048000000000000126,0.09706839174032211,-0.03674177825450897
15.0,25.0,7,19,0.3076923076923077,-0.055999999999999966,0.07067178934812546,-0.3636363636363636,0.04400000000000012,0.09778744727373123,-0.027115657925605774
15.0,25.0,8,19,0.3076923076923077,-0.092,0.2489563673734665,-0.38461538461538464,-0.03599999999999995,0.10128296166658401,0.14767340570688248
15.0,25.0,9,18,0.3125,-0.092,0.2363988608121872,-0.5,-0.1,0.09938552230596542,0.13701333850622177
15.0,25.0,10,18,0.2061855670103093,0.17200000000000024,0.05469193682074547,-0.30303030303030304,0.21200000000000027,0.054233718663454056,0.00045821815729141235
15.0,25.0,11,18,0.23809523809523808,-0.07999999999999999,0.12548762559890747,-0.21978021978021978,-0.011999999999999927,0.1006188914179802,0.024868734180927277
15.0,25.0,12,18,0.3125,-0.088,0.13724704086780548,-0.6451612903225806,-0.031999999999999945,0.10536012053489685,0.03188692033290863
15.0,25.0,13,20,0.30303030303030304,-0.092,0.23231016099452972,-0.6666666666666666,-0.02799999999999994,0.10315689444541931,0.1291532665491104
15.0,25.0,14,20,0.3076923076923077,-0.092,0.27053582668304443,-0.38461538461538464,-0.03599999999999995,0.10222946852445602,0.1683063581585884
15.0,25.0,15,19,0.3076923076923077,-0.092,0.2520129084587097,-0.38461538461538464,-0.03599999999999995,0.09995828568935394,0.15205462276935577
15.0,25.0,16,20,0.33898305084745767,0.20800000000000027,0.051726680248975754,-0.45454545454545453,0.07200000000000015,0.07160910964012146,-0.019882429391145706
15.0,25.0,17,20,0.2898550724637681,-0.05999999999999997,0.05666667968034744,-0.4347826086956522,0.04400000000000012,0.09329112619161606,-0.036624446511268616
15.0,25.0,18,18,0.3125,-0.092,0.1935940831899643,-0.38461538461538464,-0.007999999999999924,0.10640022158622742,0.08719386160373688
15.0,25.0,19,18,0.35714285714285715,0.19600000000000026,0.048586998134851456,-0.5,0.048000000000000126,0.09496162086725235,-0.046374622732400894
15.0,25.0,20,19,0.30303030303030304,-0.05999999999999997,0.09730800986289978,-0.47619047619047616,0.016000000000000097,0.09518304467201233,0.002124965190887451
15.0,25.0,21,19,0.22727272727272727,-0.04799999999999996,0.06495416164398193,-0.47619047619047616,0.0200000000000001,0.10681861639022827,-0.04186445474624634
15.0,25.0,22,18,0.3125,-0.096,0.18240417540073395,-0.32786885245901637,0.016000000000000097,0.09658350795507431,0.08582066744565964
15.0,25.0,23,18,0.3125,-0.096,0.20778803527355194,-0.31746031746031744,-0.011999999999999927,0.1092706099152565,0.09851742535829544
15.0,25.0,24,20,0.2702702702702703,-0.08399999999999999,0.15466126799583435,-0.4166666666666667,0.016000000000000097,0.09743882715702057,0.05722244083881378
15.0,25.0,25,20,0.24390243902439024,0.20400000000000026,0.05925365164875984,-0.45454545454545453,0.0200000000000001,0.09665754437446594,-0.0374038927257061
15.0,25.0,26,18,0.20833333333333334,0.18800000000000025,0.06644371896982193,-0.23255813953488375,0.04400000000000012,0.0752420499920845,-0.008798331022262573
15.0,25.0,27,19,0.2898550724637681,-0.055999999999999966,0.07340432703495026,-0.3636363636363636,0.09600000000000017,0.07699593901634216,-0.0035916119813919067
15.0,25.0,28,17,0.3076923076923077,-0.092,0.28901785612106323,-0.33898305084745767,-0.011999999999999927,0.11071264743804932,0.17830520868301392
15.0,25.0,29,18,0.30303030303030304,-0.092,0.2732284963130951,-0.38461538461538464,-0.03599999999999995,0.10031850636005402,0.17290998995304108
15.0,25.0,30,19,0.273972602739726,-0.096,0.05426020920276642,-0.6451612903225806,0.04400000000000012,0.10405181348323822,-0.0497916042804718
15.0,25.0,31,18,0.2,0.21600000000000028,0.058110032230615616,-0.5555555555555556,0.04400000000000012,0.08758857846260071,-0.029478546231985092
15.0,25.0,32,19,0.4,0.20800000000000027,0.06487290561199188,-0.38461538461538464,0.04000000000000012,0.07401514798402786,-0.00914224237203598
15.0,25.0,33,19,0.2985074626865672,-0.088,0.1404866725206375,-0.5,-0.007999999999999924,0.10804934799671173,0.03243732452392578
15.0,25.0,34,21,0.3076923076923077,-0.092,0.20064428448677063,-0.45454545454545453,-0.1,0.10337480157613754,0.09726948291063309
15.0,25.0,35,17,0.2985074626865672,-0.088,0.25728094577789307,-0.38461538461538464,-0.011999999999999927,0.09754584729671478,0.15973509848117828
15.0,25.0,36,19,0.2777777777777778,-0.07999999999999999,0.05162414163351059,-0.5,0.0200000000000001,0.07115877419710159,-0.019534632563591003
15.0,25.0,37,18,0.2898550724637681,0.19200000000000025,0.05181485787034035,-0.6666666666666666,0.10800000000000018,0.08138874918222427,-0.029573891311883926
15.0,25.0,38,19,0.3076923076923077,-0.092,0.2702418267726898,-0.2597402597402597,-0.03999999999999995,0.10272952169179916,0.16751230508089066
15.0,25.0,39,22,0.5555555555555556,0.18400000000000025,0.04374535754323006,-0.5405405405405406,0.048000000000000126,0.08251756429672241,-0.038772206753492355
15.0,25.0,40,18,0.22222222222222224,-0.07999999999999999,0.06346700340509415,-0.31746031746031744,0.04400000000000012,0.09176614135503769,-0.028299137949943542
15.0,25.0,41,18,0.5128205128205128,0.2360000000000003,0.04696919769048691,-0.588235294117647,0.05600000000000013,0.09910506010055542,-0.05213586241006851
15.0,25.0,42,19,0.30303030303030304,-0.092,0.2670981287956238,-0.20202020202020202,-0.03999999999999995,0.1007097065448761,0.16638842225074768
15.0,25.0,43,19,0.30303030303030304,-0.092,0.24203914403915405,-0.28571428571428575,-0.03999999999999995,0.10228413343429565,0.1397550106048584
15.0,25.0,44,18,0.30303030303030304,-0.088,0.10101567953824997,-0.5555555555555556,-0.007999999999999924,0.1029747873544693,-0.00195910781621933
15.0,25.0,45,19,0.22988505747126436,-0.05199999999999996,0.06097536161541939,-0.3448275862068965,0.07600000000000015,0.09748145192861557,-0.03650609031319618
25.0,35.0,0,18,0.3448275862068965,-0.1,0.43802881240844727,-0.45454545454545453,-0.043999999999999956,0.05783703923225403,0.38019177317619324
25.0,35.0,1,17,0.31746031746031744,-0.092,0.06866335868835449,-0.4651162790697675,0.05200000000000013,0.04075821116566658,0.027905147522687912
25.0,35.0,2,18,0.3448275862068965,-0.1,0.4304274320602417,-0.625,-0.07599999999999998,0.06867846846580505,0.36174896359443665
25.0,35.0,3,18,0.3448275862068965,-0.1,0.43934667110443115,-0.625,-0.096,0.07313693314790726,0.3662097379565239
25.0,35.0,4,19,0.588235294117647,0.17600000000000024,0.042366381734609604,-0.31746031746031744,0.26000000000000034,0.030419321730732918,0.011947060003876686
25.0,35.0,5,19,0.37037037037037035,-0.096,0.1251872330904007,-0.5555555555555556,-0.043999999999999956,0.06967049092054367,0.055516742169857025
25.0,35.0,6,17,0.6060606060606061,0.1320000000000002,0.06176454946398735,-0.5,0.03200000000000011,0.033595409244298935,0.028169140219688416
25.0,35.0,7,19,0.31746031746031744,-0.03599999999999995,0.034674402326345444,-0.588235294117647,0.016000000000000097,0.03731510043144226,-0.002640698105096817
