idx,tag,time,mag,depth,lat,lon,t,r,km_safod,cl
1,ev_20240510T122958,2024-05-10 12:29:58+00:00,1.12,1.732,36.00191,-120.5592,-2.532442716134414,0.5983332273313198,2.6021661671443965,104
2,ev_20240512T042912,2024-05-12 04:29:12+00:00,1.03,0.387,36.03855,-120.60439,-8.28827607797206,0.6040081813431182,8.310255485110753,122
3,ev_20240513T093029,2024-05-13 09:30:29+00:00,0.78,4.723,35.99192,-120.55047,-1.1915766603589004,0.3683076871638864,1.247199057863692,57
4,ev_20240522T154439,2024-05-22 15:44:39+00:00,0.95,3.9,36.0378,-120.5946,-7.606449073900488,1.1679003809139297,7.695586970048517,195
5,ev_20240522T213127,2024-05-22 21:31:27+00:00,2.03,2.369,35.98474,-120.54271,-0.1333551669919785,0.2974999854491943,0.3260212292255358,178
6,ev_20240525T045628,2024-05-25 04:56:28+00:00,1.44,3.851,35.9197,-120.48831,8.441335988730323,-1.355115105086226,8.549414612864824,110
7,ev_20240526T183337,2024-05-26 18:33:37+00:00,1.72,6.625,35.97633,-120.53383,1.0928295314425718,0.201242409420748,1.1112042531157171,76
8,ev_20240609T163544,2024-06-09 16:35:44+00:00,1.85,2.792,35.99685,-120.56016,-2.195686450704866,0.1394226783994847,2.200108559380882,51
9,ev_20240619T021347,2024-06-19 02:13:47+00:00,1.11,4.697,36.08166,-120.63307,-13.50240196913867,2.168774852847698,13.675468668332517,25
10,ev_20240619T074904,2024-06-19 07:49:04+00:00,2.52,11.084,35.97862,-120.52664,1.3702247394825149,0.8387318872016305,1.6065450554835785,118
11,ev_20240622T104525,2024-06-22 10:45:25+00:00,1.7,4.182,36.04703,-120.60334,-8.88819771562271,1.3375360665745086,8.988273547316435,26
12,ev_20240623T035208,2024-06-23 03:52:08+00:00,0.99,4.644,36.03639,-120.589,-7.139307030785624,1.4133249915684356,7.277856306057227,111
13,ev_20240625T072136,2024-06-25 07:21:36+00:00,1.73,2.559,36.08282,-120.64144,-14.126121214265858,1.7274614386806153,14.231353540062884,10
14,ev_20240625T212012,2024-06-25 21:20:12+00:00,3.24,4.676,36.08075,-120.63366,-13.468391847777106,2.059690744749412,13.624973575360622,28
15,ev_20240703T025446,2024-07-03 02:54:46+00:00,1.03,10.829,35.95752,-120.50406,4.465759594402263,0.6163675755162694,4.508094691013452,155
16,ev_20240704T004415,2024-07-04 00:44:15+00:00,0.93,4.28,35.99841,-120.55597,-2.051762372448392,0.528651150016023,2.118773435600965,77
17,ev_20240704T181644,2024-07-04 18:16:44+00:00,0.96,6.095,36.0677,-120.61829,-11.464488560372178,2.01152843385092,11.639619606803963,79
18,ev_20240705T080457,2024-07-05 08:04:57+00:00,1.2,11.206,35.96265,-120.50876,3.763399056519627,0.7206811004140596,3.8317820537064526,15
19,ev_20240708T083036,2024-07-08 08:30:36+00:00,0.65,2.231,35.99938,-120.55994,-2.380606309310537,0.3523362269745052,2.406538430353392,103
20,ev_20240709T142549,2024-07-09 14:25:49+00:00,0.87,4.142,36.07206,-120.62599,-12.297175299918957,1.8644360244650395,12.437710482490733,39
21,ev_20240710T203038,2024-07-10 20:30:38+00:00,1.55,11.219,35.95767,-120.50721,4.253556742579493,0.4277516845932043,4.275010697766239,55
23,ev_20240712T034644,2024-07-12 03:46:44+00:00,2.68,11.509,35.97184,-120.51913,2.381091445984437,0.7834679610218981,2.5066747934441094,181
27,ev_20240831T060450,2024-08-31 06:04:50+00:00,1.29,11.634,35.96894,-120.51778,2.694988465272962,0.6413504029101604,2.7702514628219834,17
28,ev_20240831T134943,2024-08-31 13:49:43+00:00,0.83,4.848,36.01474,-120.56985,-4.218752951933421,0.9294943805158636,4.319934753310231,74
29,ev_20240901T023735,2024-09-01 02:37:35+00:00,0.53,5.204,36.07516,-120.62213,-12.29532622175913,2.353748961225107,12.51859341427566,157
30,ev_20240901T113911,2024-09-01 11:39:11+00:00,0.79,3.101,36.00365,-120.55121,-2.160907128316921,1.24347756158897,2.493141805711447,84
31,ev_20240901T170140,2024-09-01 17:01:40+00:00,1.46,4.995,35.99467,-120.55464,-1.673094303093026,0.3192176609303179,1.703274629087207,84
32,ev_20240901T210556,2024-09-01 21:05:56+00:00,0.65,10.416,35.96961,-120.51522,2.8051832972674693,0.8569003269247666,2.933143621023724,80
33,ev_20240902T090001,2024-09-02 09:00:01+00:00,1.01,0.944,36.04389,-120.61045,-9.093673439300114,0.6383066280559744,9.116048045729714,113
34,ev_20240902T194504,2024-09-02 19:45:04+00:00,2.2,2.26,36.06255,-120.62349,-11.390413582743022,1.2757844205786473,11.461638079861356,3
35,ev_20240902T212200,2024-09-02 21:22:00+00:00,2.2,6.164,36.06487,-120.61626,-11.112832189885587,1.9181774753562912,11.2771647193575,135
36,ev_20240902T215343,2024-09-02 21:53:43+00:00,0.99,6.057,36.06323,-120.61631,-10.987071238098228,1.7860543213029247,11.13129482269202,136
38,ev_20240919T212508,2024-09-19 21:25:08+00:00,0.62,3.399,35.96996,-120.52646,2.0625536415420336,0.1693069132990161,2.069490844417811,78
39,ev_20240928T041147,2024-09-28 04:11:47+00:00,1.75,3.337,36.08632,-120.64643,-14.718776317829278,1.6851687561185145,14.81493064549713,6
40,ev_20241002T021658,2024-10-02 02:16:58+00:00,1.05,5.07,35.93813,-120.48358,7.293242524609579,0.3948426933782452,7.303922732017892,16
41,ev_20241003T182157,2024-10-03 18:21:57+00:00,0.92,10.036,35.98647,-120.53756,0.0582801085067478,0.7611715433275765,0.763399429800182,159
42,ev_20241004T102546,2024-10-04 10:25:46+00:00,1.28,8.119,35.96845,-120.517,2.783139012417119,0.6524502111131942,2.858593017625942,116
43,ev_20241006T141305,2024-10-06 14:13:05+00:00,0.77,2.233,35.99684,-120.55331,-1.7590893634675442,0.5744473015763046,1.850509413905519,49
44,ev_20241006T183847,2024-10-06 18:38:47+00:00,1.44,1.568,36.03631,-120.59867,-7.748242133648375,0.7918101762261385,7.788595477800809,148
45,ev_20241007T174227,2024-10-07 17:42:27+00:00,0.71,2.202,35.98007,-120.5441,0.1453805795243685,-0.1581049840563842,0.2147852389860875,156
46,ev_20241009T230411,2024-10-09 23:04:11+00:00,0.7,3.681,36.03988,-120.5947,-7.776347538406726,1.3250744408881507,7.888434782133867,45
47,ev_20241010T154707,2024-10-10 15:47:07+00:00,2.05,5.181,35.96104,-120.50926,3.8581714020206617,0.5622867322547553,3.898929716812013,108
48,ev_20241020T232837,2024-10-20 23:28:37+00:00,1.05,10.39,35.94192,-120.48801,6.713415024864162,0.4109790723741739,6.725982834798304,174
49,ev_20241023T170230,2024-10-23 17:02:30+00:00,0.81,0.934,36.06082,-120.63263,-11.835900728646584,0.5582609922943123,11.84905909318939,36
50,ev_20241027T014005,2024-10-27 01:40:05+00:00,0.37,2.327,36.07312,-120.64181,-13.387016293548642,0.941276221196027,13.42006729373314,154
51,ev_20241031T155654,2024-10-31 15:56:54+00:00,1.1,2.366,36.08364,-120.64276,-14.274573310634366,1.7079513952330272,14.376388321451026,5
52,ev_20241202T222706,2024-12-02 22:27:06+00:00,0.37,3.331,35.95111,-120.49039,5.839447375367103,0.9821058940190248,5.921459080053551,60
53,ev_20241209T175058,2024-12-09 17:50:58+00:00,0.91,2.229,36.00297,-120.56162,-2.769748606146518,0.5277085276787716,2.819571533307052,89
54,ev_20241211T064659,2024-12-11 06:46:59+00:00,2.03,4.716,35.99936,-120.55885,-2.309685840554001,0.4201117676111543,2.347582283827558,90
55,ev_20241219T000022,2024-12-19 00:00:22+00:00,0.71,2.565,35.97973,-120.54131,0.3496179117599732,-0.0073314298599627,0.3496947727478865,192
56,ev_20241221T065440,2024-12-21 06:54:40+00:00,1.79,10.769,35.93294,-120.48463,7.63449382438981,-0.0800148539827265,7.63491311879212,8
57,ev_20241223T074943,2024-12-23 07:49:43+00:00,0.73,3.649,35.97849,-120.54428,0.2581532761858913,-0.293781608874812,0.3910891812855248,70
58,ev_20241223T081615,2024-12-23 08:16:15+00:00,0.96,3.048,35.97823,-120.54177,0.4382865858372633,-0.1545323647830782,0.4647315172121805,71
59,ev_20241229T012630,2024-12-29 01:26:30+00:00,1.45,10.755,35.9606,-120.50644,4.072179715235981,0.707106626830343,4.133115945008896,56
60,ev_20241230T032120,2024-12-30 03:21:20+00:00,0.81,0.125,36.02703,-120.58548,-6.179444330949172,0.901361331243384,6.244836626266591,18
61,ev_20241230T043933,2024-12-30 04:39:33+00:00,0.98,6.957,36.05554,-120.60536,-9.685797658923123,1.8781030383365231,9.866202274036832,189
62,ev_20241230T043933,2024-12-30 04:39:33+00:00,1.02,6.742,36.05514,-120.6064,-9.720515281286731,1.7804868535729557,9.88223409809113,189
63,ev_20241230T181733,2024-12-30 18:17:33+00:00,1.79,4.22,35.9939,-120.56107,-2.021644042473083,-0.1504118110703866,2.0272316955336858,59
64,ev_20250102T001400,2025-01-02 00:14:00+00:00,1.01,0.001,36.10876,-120.49076,-6.579040725986268,13.35351369860683,14.886238778585616,63
65,ev_20250107T174631,2025-01-07 17:46:31+00:00,0.57,5.278,36.03561,-120.59314,-7.341376106250015,1.088603719424012,7.42164814521427,184
66,ev_20250110T170322,2025-01-10 17:03:22+00:00,1.69,4.84,36.01593,-120.57193,-4.44464837063119,0.8907221849574714,4.533021635656497,46
67,ev_20250110T230532,2025-01-10 23:05:32+00:00,0.85,0.812,36.063,-120.63676,-12.270058264763808,0.4669006212580946,12.278938309594595,68
68,ev_20250115T030006,2025-01-15 03:00:06+00:00,1.04,2.4,36.06859,-120.62816,-12.162412574675798,1.4535537208872666,12.248963142084198,188
69,ev_20250116T195254,2025-01-16 19:52:54+00:00,0.28,9.861,35.91007,-120.45988,11.007251537787695,-0.3034824458116105,11.011434421139027,96
70,ev_20250119T060854,2025-01-19 06:08:54+00:00,2.15,6.237,36.06607,-120.61676,-11.23899104481522,1.9807143076276537,11.412192991440234,29
71,ev_20250119T153852,2025-01-19 15:38:52+00:00,0.91,4.959,36.05774,-120.62004,-10.79273999814242,1.1171027923181214,10.850398855162338,21
72,ev_20250119T185345,2025-01-19 18:53:45+00:00,2.08,6.144,36.06572,-120.61729,-11.245192595773394,1.919476514568677,11.407837069577102,31
73,ev_20250120T051448,2025-01-20 05:14:48+00:00,1.01,4.646,36.02134,-120.57536,-5.088223436579661,1.0978501754711851,5.205313895274774,129
74,ev_20250120T052429,2025-01-20 05:24:29+00:00,2.1,4.687,36.02148,-120.5773,-5.222657408955113,0.9854306999349364,5.31481176295906,129
75,ev_20250122T182736,2025-01-22 18:27:36+00:00,1.67,6.236,36.06536,-120.61676,-11.183168570684726,1.92489183349716,11.347619479477393,30
76,ev_20250122T211700,2025-01-22 21:17:00+00:00,1.31,3.017,36.01086,-120.57117,-3.997675994200774,0.5404552829671192,4.034043290235768,138
77,ev_20250123T102223,2025-01-23 10:22:23+00:00,1.05,5.565,36.0615,-120.61903,-11.024104998537846,1.476984278483651,11.12260642015508,22
78,ev_20250123T195604,2025-01-23 19:56:04+00:00,1.87,11.271,35.96866,-120.51753,2.7329084677783024,0.635241411734859,2.805765554075616,140
79,ev_20250124T021718,2025-01-24 02:17:18+00:00,0.68,3.289,36.01293,-120.56955,-4.057358347705584,0.8062729898822656,4.1366934737674095,185
80,ev_20250124T085520,2025-01-24 08:55:20+00:00,1.05,2.552,36.05755,-120.62074,-10.822337005432368,1.0576289678875757,10.873893382448893,150
81,ev_20250203T071922,2025-02-03 07:19:22+00:00,1.01,4.001,36.03899,-120.59189,-7.52759500406807,1.43387767388684,7.662942759080333,44
82,ev_20250203T193712,2025-02-03 19:37:12+00:00,1.31,4.186,36.03736,-120.58877,-7.200938472484481,1.5042225636902056,7.356371415692784,9
83,ev_20250204T010854,2025-02-04 01:08:54+00:00,2.17,4.916,35.98647,-120.54294,-0.2840063733932628,0.418885061427566,0.5060872600798889,43
