seq,cl,time,mag,depth,lat,lon,km_from_safod,t_strike,r_normal,diam_m
0,56,2025-04-14 19:06:30+00:00,2.05,4.49,36.03919,-120.59395,7.786826962140922,-7.674381011343483,1.3185409478114085,83.34114619514318
0,56,2025-07-12 05:05:05+00:00,2.22,4.509,36.03866,-120.59333,7.706514314514876,-7.593265059704888,1.316316304270225,83.34114619514318
1,41,2024-05-07 04:16:43+00:00,1.07,2.752,36.00051,-120.56111,2.570188291105334,-2.543888295210337,0.36674267985442266,223.82911578666327
1,41,2025-04-06 12:58:41+00:00,1.14,2.541,36.00104,-120.5606,2.5908947000597764,-2.5531113612448677,0.44086020900078715,223.82911578666327
2,38,2025-04-02 15:47:14+00:00,1.08,1.749,36.00276,-120.56288,2.865999683727549,-2.8334014820660043,0.43103390649992224,70.45869515503057
2,38,2025-05-11 14:09:32+00:00,0.82,1.766,36.0029,-120.56214,2.839768680823986,-2.7973284337182327,0.48912145168689736,70.45869515503057
3,107,2024-10-23 17:02:30+00:00,0.81,0.934,36.06082,-120.63263,11.84905909318939,-11.835900728646585,0.5582609922943123,235.9915295864681
3,107,2025-05-09 22:38:33+00:00,1.04,0.926,36.0588,-120.63183,11.634902916434081,-11.626184240459025,0.4503397403610716,235.9915295864681
4,81,2025-03-01 19:33:38+00:00,0.82,3.831,36.00901,-120.57262,3.956076447324012,-3.94447500150513,0.30275042456267265,203.90565056755435
4,81,2025-05-16 10:49:32+00:00,0.83,3.9,36.00969,-120.57066,3.9029812685721827,-3.873239615135458,0.4809133670118282,203.90565056755435
