i,j,sep_m,dM,mmax,rad_m,dt_days,t1,t2,lat1,lon1,dep1,lat2,lon2,dep2,both
37,190,60.19899408221914,0.1,1.27,24.525560093862182,262.0089699074074,2024-08-13 19:49:51+00:00,2025-05-02 20:02:46+00:00,36.05319,-120.60744,4.318,36.05327,-120.60792,4.277,False
167,195,70.43483701418829,0.2600000000000001,1.08,19.7069281966514,38.9321412037037,2025-04-02 15:47:14+00:00,2025-05-11 14:09:31+00:00,36.00276,-120.56288,1.749,36.0029,-120.56214,1.766,True
70,309,78.54193628267164,0.06,1.34,26.583914667181624,527.4021527777778,2024-09-13 14:38:01+00:00,2026-02-23 00:17:07+00:00,35.99958,-120.55729,4.51,35.9999,-120.55703,4.576,False
110,115,78.95123327788825,0.48,2.15,67.54900157596033,3.512974537037037,2025-01-19 06:08:54+00:00,2025-01-22 18:27:35+00:00,36.06607,-120.61676,6.237,36.06536,-120.61676,6.236,True
52,268,82.96477154020845,0.49,2.31,81.2117621886927,447.4683912037037,2024-08-30 15:12:54+00:00,2025-11-21 02:27:23+00:00,35.96989,-120.51775,11.07,35.96934,-120.51772,11.126,False
182,228,83.32698841969776,0.1700000000000003,2.22,73.21818082344411,88.41568287037038,2025-04-14 19:06:30+00:00,2025-07-12 05:05:05+00:00,36.03919,-120.59395,4.49,36.03866,-120.59333,4.509,True
309,310,89.99849308819296,0.3199999999999998,1.66,38.42544752206032,0.1391898148148148,2026-02-23 00:17:07+00:00,2026-02-23 03:37:33+00:00,35.9999,-120.55703,4.576,35.99987,-120.55614,4.617,False
172,244,90.44183368471565,0.1500000000000001,1.86,48.37477234508498,148.11820601851852,2025-04-06 08:23:21+00:00,2025-09-01 11:13:34+00:00,35.99934,-120.55943,3.133,35.9992,-120.56042,3.13,False
35,82,98.96127132651704,0.13,0.7,12.723861531450272,63.6690625,2024-08-07 07:00:43+00:00,2024-10-09 23:04:10+00:00,36.03951,-120.59469,3.771,36.03988,-120.5947,3.681,False
276,277,110.67897601090525,0.3399999999999998,2.52,103.42342936209252,0.0231481481481481,2025-12-07 19:10:29+00:00,2025-12-07 19:43:49+00:00,36.01424,-120.57278,4.281,36.01339,-120.57214,4.283,False
112,115,111.07916571024336,0.4100000000000001,2.08,62.31877878681305,2.981828703703704,2025-01-19 18:53:45+00:00,2025-01-22 18:27:35+00:00,36.06572,-120.61729,6.144,36.06536,-120.61676,6.236,True
110,112,111.51592810270478,0.0699999999999998,2.15,67.54900157596033,0.5311458333333333,2025-01-19 06:08:54+00:00,2025-01-19 18:53:45+00:00,36.06607,-120.61676,6.237,36.06572,-120.61729,6.144,True
25,281,116.94838804556213,0.1200000000000001,1.26,24.24481832898221,530.1464467592592,2024-07-11 18:51:17+00:00,2025-12-23 22:22:10+00:00,36.01191,-120.56909,4.968,36.01212,-120.56783,4.951,False
244,255,119.04992176151298,0.0,1.71,40.7022984293468,21.91243055555556,2025-09-01 11:13:34+00:00,2025-09-23 09:07:28+00:00,35.9992,-120.56042,3.13,35.99955,-120.56073,3.021,False
61,112,133.84488105897083,0.1200000000000001,2.2,71.55153155134259,138.8970486111111,2024-09-02 21:22:00+00:00,2025-01-19 18:53:45+00:00,36.06487,-120.61626,6.164,36.06572,-120.61729,6.144,True
116,282,140.32113626047482,0.0899999999999998,1.4,28.485177774674263,340.0042476851852,2025-01-22 21:17:00+00:00,2025-12-28 21:23:07+00:00,36.01086,-120.57117,3.017,36.0104,-120.57231,3.098,False
70,310,152.27264411272185,0.3799999999999999,1.66,38.42544752206032,527.5413425925926,2024-09-13 14:38:01+00:00,2026-02-23 03:37:33+00:00,35.99958,-120.55729,4.51,35.99987,-120.55614,4.617,False
27,33,154.0410246077865,0.1100000000000003,2.22,73.21818082344411,22.503125,2024-07-12 16:11:12+00:00,2024-08-04 04:15:42+00:00,35.97199,-120.52024,11.32,35.97148,-120.5191,11.22,False
61,110,158.6013159963793,0.0500000000000002,2.2,71.55153155134259,138.3659027777778,2024-09-02 21:22:00+00:00,2025-01-19 06:08:54+00:00,36.06487,-120.61626,6.164,36.06607,-120.61676,6.237,True
172,255,163.5856915842427,0.1500000000000001,1.86,48.37477234508498,170.03063657407407,2025-04-06 08:23:21+00:00,2025-09-23 09:07:28+00:00,35.99934,-120.55943,3.133,35.99955,-120.56073,3.021,False
118,268,164.41951807322627,0.05,1.87,48.934925808787845,301.2717476851852,2025-01-23 19:56:04+00:00,2025-11-21 02:27:23+00:00,35.96866,-120.51753,11.271,35.96934,-120.51772,11.126,False
180,232,164.5349896361111,0.4199999999999999,1.42,29.14868280069569,107.38844907407407,2025-04-10 01:01:44+00:00,2025-07-26 10:21:06+00:00,36.02176,-120.57632,5.0,36.02194,-120.57772,4.896,True
4,176,167.66846284403837,0.31,1.12,20.635687109102925,331.0988310185185,2024-05-10 12:29:58+00:00,2025-04-06 14:52:17+00:00,36.00191,-120.5592,1.732,36.00144,-120.56096,1.75,True
44,283,172.14610328314274,0.09,1.8,45.145964341125904,503.1349652777778,2024-08-20 03:59:14+00:00,2026-01-05 07:13:35+00:00,36.03467,-120.60207,0.658,36.03317,-120.60177,0.625,False
106,259,172.40791967436715,0.1399999999999999,1.69,39.77580100360894,266.5569907407408,2025-01-10 17:03:22+00:00,2025-10-04 06:25:26+00:00,36.01593,-120.57193,4.84,36.0152,-120.57227,4.691,False
25,305,177.82712211829804,0.1500000000000001,1.29,25.09683377580971,581.8902314814815,2024-07-11 18:51:17+00:00,2026-02-13 16:13:13+00:00,36.01191,-120.56909,4.968,36.01326,-120.569,5.063,False
136,261,181.46766608319516,0.4899999999999999,1.15,21.3608698650338,227.9951851851852,2025-02-25 10:52:31+00:00,2025-10-11 10:45:35+00:00,35.92931,-120.47423,4.005,35.92847,-120.47526,4.13,False
15,189,184.46414547307307,0.4399999999999999,1.43,29.48620863992261,304.57796296296294,2024-06-23 03:52:07+00:00,2025-04-23 17:44:23+00:00,36.03639,-120.589,4.644,36.0364,-120.59104,4.625,True
141,147,185.0029034490909,0.1,1.79,44.6291827606918,1.5619328703703703,2025-03-02 13:22:54+00:00,2025-03-04 02:52:05+00:00,36.09965,-120.61145,7.976,36.09834,-120.61262,7.932,True
107,327,190.4306690151124,0.0799999999999999,0.85,15.12233777172886,442.9324421296296,2025-01-10 23:05:32+00:00,2026-03-29 21:28:15+00:00,36.063,-120.63676,0.812,36.06169,-120.63564,0.742,False
170,172,190.50299713815636,0.09,1.86,48.37477234508498,0.0857175925925926,2025-04-06 06:19:55+00:00,2025-04-06 08:23:21+00:00,35.99799,-120.5582,3.172,35.99934,-120.55943,3.133,True
176,195,194.61010025630537,0.0099999999999998,0.82,14.608947696759518,34.970300925925926,2025-04-06 14:52:17+00:00,2025-05-11 14:09:31+00:00,36.00144,-120.56096,1.75,36.0029,-120.56214,1.766,True
90,113,196.1908160344143,0.09,1.1,20.1659615230134,71.31998842592593,2024-11-09 21:34:01+00:00,2025-01-20 05:14:48+00:00,36.0198,-120.57642,4.655,36.02134,-120.57536,4.646,False
275,276,196.31282585338383,0.1099999999999998,2.52,103.42342936209252,0.0133101851851851,2025-12-07 18:51:19+00:00,2025-12-07 19:10:29+00:00,36.01503,-120.57304,4.107,36.01424,-120.57278,4.281,False
69,70,197.63950427957744,0.2099999999999999,1.28,24.809552695167465,0.0048379629629629,2024-09-13 14:31:03+00:00,2024-09-13 14:38:01+00:00,36.00067,-120.55901,4.489,35.99958,-120.55729,4.51,False
281,305,199.2104283892777,0.03,1.29,25.09683377580971,51.74378472222222,2025-12-23 22:22:10+00:00,2026-02-13 16:13:13+00:00,36.01212,-120.56783,4.951,36.01326,-120.569,5.063,False
182,243,199.98582342331483,0.4399999999999997,2.05,60.203111024572486,138.1844675925926,2025-04-14 19:06:30+00:00,2025-08-30 23:32:08+00:00,36.03919,-120.59395,4.49,36.03816,-120.59264,4.604,False
