kind,is_rep,variant,band,i,j,pair,dt_days,phase_days,hrsn_cc,das_cc,z_lo,z_hi,dvv,err,n,rms,dvv_edge,tau_s
repeater,True,main,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,2.0,75.0,0.050441027758835764,0.034506153262848505,37,0.004738697847856394,-0.03838322007421046,0.06542062332082034
repeater,True,main,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,75.0,250.0,0.00851643952614307,0.006466406555824323,117,0.0009663630021435638,-0.011484737367508003,0.052763774591917764
repeater,True,main,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,250.0,550.0,0.004652923244209709,0.004102144174150699,171,0.0013197492339854337,0.007296924985956202,0.09785539564309136
repeater,True,main,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,550.0,850.0,0.0670263309129426,0.01117926822281876,205,0.003617180336149825,-0.04518724995985703,0.07761748272974536
repeater,True,main,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,2.0,25.0,0.08609265661814575,0.07056086191135234,9,0.0006321365998436296,,0.029146549077424776
repeater,True,main,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,25.0,50.0,-0.051336531444190446,0.6835779369364243,9,0.003810168941922861,-0.17393819136600486,0.01823659157543684
repeater,True,main,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,50.0,100.0,-0.10254971473364742,0.09160581165141124,34,0.0036563523005753553,0.08270294692391174,0.025170288522337637
repeater,True,main,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,100.0,200.0,0.01728900727208396,0.009897583572420026,72,0.0008378739813383031,0.016558614000956533,0.03317922861328666
repeater,True,main,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,200.0,400.0,-0.016486230683730715,0.005411412844493783,114,0.0011984915486183045,0.0029501946500689494,0.06090874428561975
repeater,True,main,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,400.0,600.0,-0.02906806071002741,0.010327482557125841,124,0.0016605582415954163,-0.010842420704833723,0.06509885812265248
repeater,True,main,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,600.0,850.0,0.06712767310544379,0.01847769912649118,168,0.003741013928237621,-0.05068020189662506,0.06191701608881667
repeater,True,acausal,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,2.0,75.0,,,1,,,
repeater,True,acausal,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,75.0,250.0,-1.1699654213113784,0.18349136888419595,14,0.0024608632695827994,,0.052763774591917764
repeater,True,acausal,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,250.0,550.0,,,4,,,
repeater,True,acausal,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,550.0,850.0,,,3,,,
repeater,True,acausal,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,2.0,25.0,,,0,,,
repeater,True,acausal,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,25.0,50.0,,,0,,,
repeater,True,acausal,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,50.0,100.0,2.127694187679908,0.4166435586547257,8,0.0003892122129352955,,0.025170288522337637
repeater,True,acausal,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,100.0,200.0,5.6610828981365575,0.9329536835619986,7,0.002956083906268804,,0.03317922861328666
repeater,True,acausal,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,200.0,400.0,,,4,,,
repeater,True,acausal,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,400.0,600.0,,,0,,,
repeater,True,acausal,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,600.0,850.0,,,3,,,
repeater,True,snr_eq,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,2.0,75.0,0.06808247695800966,0.031085425629541218,37,0.004417618630725215,-0.03132978059249304,0.06542062332082034
repeater,True,snr_eq,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,75.0,250.0,0.011931067613041252,0.007881228436258398,120,0.0011621505776075443,-0.008067986724915672,0.052763774591917764
repeater,True,snr_eq,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,250.0,550.0,0.005909575579513578,0.004266832028636677,172,0.0013920924015788478,0.006577796492559973,0.09785539564309136
repeater,True,snr_eq,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,550.0,850.0,0.07086394711370753,0.011345427841149882,205,0.003754755959150609,-0.04266900565962623,0.07761748272974536
repeater,True,snr_eq,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,2.0,25.0,0.07373602228364766,0.06370405427936693,10,0.000619739606045594,,0.029146549077424776
repeater,True,snr_eq,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,25.0,50.0,0.1322049637465849,0.18956314540374392,7,0.0010308980973321546,-0.08216417605057554,0.01823659157543684
repeater,True,snr_eq,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,50.0,100.0,-0.014269954100884531,0.04436576693293289,28,0.00170842109304108,0.10775554664874626,0.025170288522337637
repeater,True,snr_eq,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,100.0,200.0,0.011587888846158415,0.011868434767821836,74,0.0010706244188363814,0.013122262449347478,0.03317922861328666
repeater,True,snr_eq,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,200.0,400.0,-0.01889406990537548,0.0055192351094893784,117,0.0012626258120294234,0.00028899631382913143,0.06090874428561975
repeater,True,snr_eq,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,400.0,600.0,-0.02816007467384824,0.010183085308905637,124,0.0016857455608668792,-0.011527313471189671,0.06509885812265248
repeater,True,snr_eq,5-30,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,600.0,850.0,0.06732219822278498,0.017767511981961293,167,0.003975993527673586,-0.046702853273487506,0.06191701608881667
repeater,True,main,5-20,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,2.0,75.0,0.08634716789468556,0.04658534023194274,56,0.007015297127125123,0.12049708276965121,0.06542062332082034
repeater,True,main,5-20,120,148,2025-04-02/2025-05-11,38.93246527777778,39.0,0.9872999663491724,0.7916169715694473,75.0,250.0,0.034726705543962844,0.02717358139776294,145,0.005415190854946412,-0.0052416379816332855,0.052763774591917764
