i,j,das,hrsn,nsta,dt_days,is_cand,t_i,t_j,m_i,m_j
120,148,0.7916169715694473,0.9872999663491723,8,38.93246527777778,True,2025-04-02 15:46:47+00:00,2025-05-11 14:09:32+00:00,1.09,0.82
18,130,0.7900405434844634,0.9952365732712305,5,272.26506944444446,True,2024-07-08 08:30:36+00:00,2025-04-06 14:52:18+00:00,0.65,0.81
11,143,0.7749539793090233,0.993020148055341,3,304.57796296296294,True,2024-06-23 03:52:08+00:00,2025-04-23 17:44:24+00:00,0.99,1.43
121,148,0.7420813700126455,0.9624622562233114,8,38.93215277777778,True,2025-04-02 15:47:14+00:00,2025-05-11 14:09:32+00:00,1.08,0.82
2,185,0.6833187942310601,0.9908045384847818,5,440.14561342592594,True,2024-05-13 09:30:29+00:00,2025-07-27 13:00:10+00:00,0.78,0.84
0,130,0.6771297700851776,0.9169728508880155,5,331.0988425925926,True,2024-05-10 12:29:58+00:00,2025-04-06 14:52:18+00:00,1.12,0.81
125,148,0.6679528992234933,0.7859882755893757,9,35.24469907407408,True,2025-04-06 08:17:10+00:00,2025-05-11 14:09:32+00:00,1.61,0.82
26,176,0.6643771925074048,0.8528463165078962,7,302.76752314814814,True,2024-09-01 17:01:40+00:00,2025-07-01 11:26:54+00:00,1.46,1.86
0,18,0.6305350981812141,0.9449620931532419,4,58.83377314814815,True,2024-05-10 12:29:58+00:00,2024-07-08 08:30:36+00:00,1.12,0.65
25,176,0.6268839594565632,0.817851061140602,7,302.9914699074074,True,2024-09-01 11:39:11+00:00,2025-07-01 11:26:54+00:00,0.79,1.86
119,185,0.16477654123288354,0.21017356727709963,7,116.99887731481482,False,2025-04-01 13:01:47+00:00,2025-07-27 13:00:10+00:00,0.76,0.84
53,83,-0.25635734708881014,-0.016566140851237157,8,44.006458333333335,False,2024-12-29 01:26:30+00:00,2025-02-11 01:35:48+00:00,1.45,1.85
64,103,-0.24741178679516326,-0.2616554197967956,7,44.31270833333333,False,2025-01-19 06:08:54+00:00,2025-03-04 13:39:12+00:00,2.15,0.61
61,140,-0.1533532999635588,0.21454787965711042,6,95.81232638888889,False,2025-01-10 23:05:32+00:00,2025-04-16 18:35:17+00:00,0.85,0.22
