i,j,min_cc,cc_2_8,cc_4_16,cc_10_40,dt_days,tag_i,tag_j,t_i,t_j,m_i,m_j
26,175,0.726616817364116,0.8062079495911756,0.8003324343986121,0.726616817364116,302.76752314814814,ev_20240901T170140,ev_20250701T112654,2024-09-01 17:01:40+00:00,2025-07-01 11:26:54+00:00,1.46,1.86
18,129,0.6906482619882629,0.6906482619882629,0.7816782444582686,0.8084366860086808,272.26506944444446,ev_20240708T083036,ev_20250406T145218,2024-07-08 08:30:36+00:00,2025-04-06 14:52:18+00:00,0.65,0.81
25,175,0.6753310799017552,0.6831628877057149,0.7754843149407907,0.6753310799017552,302.9914699074074,ev_20240901T113911,ev_20250701T112654,2024-09-01 11:39:11+00:00,2025-07-01 11:26:54+00:00,0.79,1.86
11,142,0.6491723193856918,0.6491723193856918,0.7386274003737843,0.7123757673851503,304.57796296296294,ev_20240623T035208,ev_20250423T174424,2024-06-23 03:52:08+00:00,2025-04-23 17:44:24+00:00,0.99,1.43
119,147,0.6029687770434103,0.6029687770434103,0.7295450498763393,0.7689856729805268,38.93246527777778,ev_20250402T154647,ev_20250511T140932,2025-04-02 15:46:47+00:00,2025-05-11 14:09:32+00:00,1.09,0.82
37,131,0.5686576109952807,0.6214396821116888,0.6450719357820203,0.5686576109952807,183.5805787037037,ev_20241006T141305,ev_20250408T040907,2024-10-06 14:13:05+00:00,2025-04-08 04:09:07+00:00,0.77,0.94
39,51,0.5536855540106908,0.6990420426613272,0.6950430288872154,0.5536855540106908,76.58837962962963,ev_20241007T174227,ev_20241223T074943,2024-10-07 17:42:27+00:00,2024-12-23 07:49:43+00:00,0.71,0.73
59,111,0.5530872111659845,0.6405388559719043,0.6939564040771115,0.5530872111659845,71.29092592592593,ev_20250110T170322,ev_20250323T000218,2025-01-10 17:03:22+00:00,2025-03-23 00:02:18+00:00,1.69,1.19
39,52,0.5318162580219006,0.7048251903125612,0.6529426907438171,0.5318162580219006,76.60680555555555,ev_20241007T174227,ev_20241223T081615,2024-10-07 17:42:27+00:00,2024-12-23 08:16:15+00:00,0.71,0.96
120,147,0.5233203820569982,0.5233203820569982,0.68191860582672,0.7449080455531762,38.93215277777778,ev_20250402T154714,ev_20250511T140932,2025-04-02 15:47:14+00:00,2025-05-11 14:09:32+00:00,1.08,0.82
83,153,0.5207001416045638,0.7332114114773676,0.5207001416045638,0.5310674755145464,97.39511574074074,ev_20250211T052714,ev_20250519T145612,2025-02-11 05:27:14+00:00,2025-05-19 14:56:12+00:00,0.84,2.0
124,147,0.49420104055309994,0.5778947299698515,0.5816177707616591,0.49420104055309994,35.24469907407408,ev_20250406T081710,ev_20250511T140932,2025-04-06 08:17:10+00:00,2025-05-11 14:09:32+00:00,1.61,0.82
4,195,0.47826486734890034,0.6821096758068017,0.6730139323515397,0.47826486734890034,593.6494907407407,ev_20240522T213127,ev_20260106T130643,2024-05-22 21:31:27+00:00,2026-01-06 13:06:43+00:00,2.03,1.69
88,190,0.46120527317405974,0.5733173270923173,0.6200681874816135,0.46120527317405974,164.19059027777777,ev_20250224T043042,ev_20250807T090509,2025-02-24 04:30:42+00:00,2025-08-07 09:05:09+00:00,1.66,0.81
7,18,0.4608806600666557,0.7686140605070084,0.7198943422299391,0.4608806600666557,28.663101851851852,ev_20240609T163544,ev_20240708T083036,2024-06-09 16:35:44+00:00,2024-07-08 08:30:36+00:00,1.85,0.65
184,205,0.45607600759927175,0.6437839129288505,0.633256349331064,0.45607600759927175,182.57383101851852,ev_20250727T130010,ev_20260126T024629,2025-07-27 13:00:10+00:00,2026-01-26 02:46:29+00:00,0.84,0.78
146,164,0.4516213924620002,0.5238111761691137,0.537039443023063,0.4516213924620002,22.477800925925926,ev_20250511T121311,ev_20250602T234113,2025-05-11 12:13:11+00:00,2025-06-02 23:41:13+00:00,1.07,1.88
56,205,0.444597996313321,0.6686985103281807,0.6244720349099678,0.444597996313321,391.35342592592593,ev_20241230T181733,ev_20260126T024629,2024-12-30 18:17:33+00:00,2026-01-26 02:46:29+00:00,1.79,0.78
29,203,0.42941785573882,0.6803462724380216,0.5206708618244615,0.42941785573882,505.58368055555553,ev_20240902T194504,ev_20260121T094534,2024-09-02 19:45:04+00:00,2026-01-21 09:45:34+00:00,2.2,2.01
0,18,0.4283720964882749,0.4489412911858499,0.5557900200791348,0.4283720964882749,58.83377314814815,ev_20240510T122958,ev_20240708T083036,2024-05-10 12:29:58+00:00,2024-07-08 08:30:36+00:00,1.12,0.65
42,179,0.4252609058459436,0.4252609058459436,0.5090598555419352,0.5383339768728628,263.11635416666667,ev_20241020T232837,ev_20250711T021610,2024-10-20 23:28:37+00:00,2025-07-11 02:16:10+00:00,1.05,3.15
3,182,0.41784040711376363,0.6469499545688371,0.6389233156539675,0.41784040711376363,417.1878009259259,ev_20240522T154439,ev_20250713T201505,2024-05-22 15:44:39+00:00,2025-07-13 20:15:05+00:00,0.95,1.04
2,184,0.41442091370957573,0.41442091370957573,0.5941783733471421,0.5429913001771842,440.14561342592594,ev_20240513T093029,ev_20250727T130010,2024-05-13 09:30:29+00:00,2025-07-27 13:00:10+00:00,0.78,0.84
26,205,0.40969910906510354,0.5909504455736819,0.555574495884333,0.40969910906510354,511.4061226851852,ev_20240901T170140,ev_20260126T024629,2024-09-01 17:01:40+00:00,2026-01-26 02:46:29+00:00,1.46,0.78
7,129,0.393432724451334,0.6542207014086697,0.6312848683817844,0.393432724451334,300.9281712962963,ev_20240609T163544,ev_20250406T145218,2024-06-09 16:35:44+00:00,2025-04-06 14:52:18+00:00,1.85,0.81
56,184,0.39276639852414974,0.718419736577782,0.6226059429873172,0.39276639852414974,208.77959490740741,ev_20241230T181733,ev_20250727T130010,2024-12-30 18:17:33+00:00,2025-07-27 13:00:10+00:00,1.79,0.84
7,123,0.38698002547602367,0.7101124087042986,0.5673487714931671,0.38698002547602367,300.5723611111111,ev_20240609T163544,ev_20250406T061956,2024-06-09 16:35:44+00:00,2025-04-06 06:19:56+00:00,1.85,1.77
25,205,0.38339124756095866,0.5261395788559633,0.5381004981551212,0.38339124756095866,511.6300694444444,ev_20240901T113911,ev_20260126T024629,2024-09-01 11:39:11+00:00,2026-01-26 02:46:29+00:00,0.79,0.78
0,129,0.378983518534222,0.378983518534222,0.4638388148382733,0.4681854649217953,331.0988425925926,ev_20240510T122958,ev_20250406T145218,2024-05-10 12:29:58+00:00,2025-04-06 14:52:18+00:00,1.12,0.81
175,205,0.374674074104688,0.5339450892597272,0.5438287213332276,0.374674074104688,208.63859953703704,ev_20250701T112654,ev_20260126T024629,2025-07-01 11:26:54+00:00,2026-01-26 02:46:29+00:00,1.86,0.78
175,184,0.3575595672650818,0.6197009010260456,0.5069634299338095,0.3575595672650818,26.06476851851852,ev_20250701T112654,ev_20250727T130010,2025-07-01 11:26:54+00:00,2025-07-27 13:00:10+00:00,1.86,0.84
4,86,0.3480032245772076,0.6728183308872184,0.6040585790334001,0.3480032245772076,271.4256712962963,ev_20240522T213127,ev_20250218T074425,2024-05-22 21:31:27+00:00,2025-02-18 07:44:25+00:00,2.03,0.57
87,126,0.34670531691404693,0.3903124182185138,0.4596367817697902,0.34670531691404693,43.66311342592593,ev_20250221T210348,ev_20250406T125841,2025-02-21 21:03:48+00:00,2025-04-06 12:58:41+00:00,0.83,1.14
87,128,0.3420477486453459,0.3640566306785771,0.4731941240197565,0.3420477486453459,43.722546296296294,ev_20250221T210348,ev_20250406T142416,2025-02-21 21:03:48+00:00,2025-04-06 14:24:16+00:00,0.83,1.18
74,154,0.34045766044864517,0.34045766044864517,0.3918786596975971,0.43312006191217245,106.75957175925926,ev_20250203T071922,ev_20250521T013309,2025-02-03 07:19:22+00:00,2025-05-21 01:33:09+00:00,1.01,1.02
55,162,0.3386265965835452,0.35044810650902636,0.43576671461827965,0.3386265965835452,154.67368055555556,ev_20241230T043933,ev_20250602T204939,2024-12-30 04:39:33+00:00,2025-06-02 20:49:39+00:00,0.98,1.7
86,195,0.3369933575065067,0.5493772995200076,0.47869683070012514,0.3369933575065067,322.2238194444444,ev_20250218T074425,ev_20260106T130643,2025-02-18 07:44:25+00:00,2026-01-06 13:06:43+00:00,0.57,1.69
2,205,0.3352584138380173,0.36686905459073454,0.45025503861504784,0.3352584138380173,622.7194444444444,ev_20240513T093029,ev_20260126T024629,2024-05-13 09:30:29+00:00,2026-01-26 02:46:29+00:00,0.78,0.78
2,175,0.3321002122376344,0.3344008762677605,0.34624205791447094,0.3321002122376344,414.0808449074074,ev_20240513T093029,ev_20250701T112654,2024-05-13 09:30:29+00:00,2025-07-01 11:26:54+00:00,0.78,1.86
25,184,0.3255885745349778,0.5837189004740136,0.44824440952494166,0.3255885745349778,329.0562384259259,ev_20240901T113911,ev_20250727T130010,2024-09-01 11:39:11+00:00,2025-07-27 13:00:10+00:00,0.79,0.84
