burst_id,utc_time,hours_into_survey,nano_offset_s,nano_taper_weight,nano_window_ramp,deep_offset_s,deep_taper_weight,deep_window_ramp
0,2026-06-16T23:47:09.409500+00:00,0.0000,221.410,1.0000,1.0000,21.410,1.0000,1.0000
0,2026-06-16T23:47:23.100000+00:00,0.0038,235.100,1.0000,1.0000,35.100,1.0000,1.0000
0,2026-06-16T23:47:32.557000+00:00,0.0064,244.557,0.9858,0.9723,44.557,1.0000,1.0000
0,2026-06-16T23:47:41.957000+00:00,0.0090,253.957,0.8723,0.9258,53.957,0.5055,0.2635
0,2026-06-16T23:47:51.841500+00:00,0.0118,263.841,0.6584,0.8681,3.841,0.2322,3.3962
0,2026-06-16T23:48:01.759000+00:00,0.0145,273.759,0.4022,0.7871,13.759,1.0000,1.0000
0,2026-06-16T23:48:10.999000+00:00,0.0171,282.999,0.1853,0.6565,22.999,1.0000,1.0000
0,2026-06-16T23:48:20.509000+00:00,0.0197,292.509,0.0380,0.3190,32.509,1.0000,1.0000
0,2026-06-16T23:48:28.963000+00:00,0.0221,0.963,0.0006,73.3207,40.963,1.0000,1.0000
0,2026-06-16T23:48:37.465000+00:00,0.0245,9.465,0.0602,1.9002,49.465,0.9636,0.7067
0,2026-06-16T23:48:45.465500+00:00,0.0267,17.465,nan,nan,57.465,nan,nan
0,2026-06-16T23:48:54.964500+00:00,0.0293,26.965,0.4209,1.2233,6.965,0.6249,1.6601
0,2026-06-16T23:49:03.200500+00:00,0.0316,35.200,0.6345,1.1388,15.200,1.0000,1.0000
0,2026-06-16T23:49:11.758000+00:00,0.0340,43.758,0.8298,1.0789,23.758,1.0000,1.0000
0,2026-06-16T23:49:20.329500+00:00,0.0364,52.330,0.9602,1.0316,32.330,1.0000,1.0000
0,2026-06-16T23:49:28.864500+00:00,0.0387,60.864,1.0000,1.0000,40.864,1.0000,1.0000
0,2026-06-16T23:49:37.310000+00:00,0.0411,69.310,1.0000,1.0000,49.310,0.9708,0.7221
0,2026-06-16T23:49:46.120000+00:00,0.0435,78.120,nan,nan,58.120,nan,nan
